sourceId,sourceObjectId,tractNumber,bookPage,recordDate,recordYear,engineeringCompany,engineerSurveyor,licenseNumber,jurisdiction,georeferencedPages,geometryType,statementClass,confidence,geometryPrecision,knownLimitations
LH-SRC-OC-TRACTS,5728,15615,MM 777/14-31,1998-12-11,1998,HUITT-ZOLLARS INC,JAMES F GILLEN,LS 5557,UNINCORPORATED,"10,11,12,13,14,15,16,17,18,3,4,5,6,7,8,9",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,10617,15621,MM 781/14-16,1999-03-30,1999,HUITT-ZOLLARS INC,JAMES F GILLEN,LS 5557,UNINCORPORATED,3,Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,3363,15625,MM 782/38-44,1999-04-22,1999,FUSCOE ENGRING,THOMAS EARL PROPST,PLS 6098,UNINCORPORATED,"2,3,4,5,6,7",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,9455,15623,MM 784/19-21,1999-05-04,1999,HUITT-ZOLLARS INC,JAMES F GILLEN,LS 5557,UNINCORPORATED,3,Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,1289,15626,MM 784/32-35,1999-05-07,1999,HUITT-ZOLLARS INC,JAMES F GILLEN,LS 5557,UNINCORPORATED,"3,4",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,325,15622,MM 784/47-50,1999-05-14,1999,DOUGLAS BENDER AND ASSOC,DOUGLAS W. BENDER,RCE 28946,UNINCORPORATED,"3,4",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,10616,15627,MM 785/17-20,1999-05-14,1999,,JAMES R CRAWFORD,LS 4965,UNINCORPORATED,"3,4",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,13827,15630,MM 785/10-16,1999-05-14,1999,WAGNER PACIFIC,ROBERT N MIM MACK,LS 5314,UNINCORPORATED,"3,4,5,6,7",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,7539,15620,MM 785/6-9,1999-05-15,1999,HUITT-ZOLLARS INC,JAMES F GILLEN,LS 5557,UNINCORPORATED,"3,4",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
LH-SRC-OC-TRACTS,1881,15628,MM 786/23-26,1999-05-25,1999,DOUGLAS BENDER AND ASSOC,DOUGLAS W. BENDER,RCE 28946,UNINCORPORATED,"3,4",Polygon,documented_exact,high,official County tract-map polygon,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
