source_id,title,authors,year,journal_or_publisher,doi,pmid,pmcid,url,access_date,source_type,peer_reviewed,grade,retraction_flag,expression_of_concern,predatory_flag,funding_conflicts,full_text_available,file_path,sha256,notes,reviewer,verification_status
S001,IARC Monograph 100C: Arsenic and Arsenic Compounds,IARC,2012,IARC Monographs,,,NBK304380,https://www.ncbi.nlm.nih.gov/books/NBK304380/,2026-07-23,monograph,y,A1,,,,, y,,,Group 1; sufficient bladder/lung/skin,RE,single
S002,"Arsenic carcinogenesis: epidemiology, metabolism, genotoxicity, epigenetics",review,2018,Regul Toxicol Pharmacol,,30223072,,https://pubmed.ncbi.nlm.nih.gov/30223072/,2026-07-23,review,y,A1,,,,,y,,,genotoxic + repair inhibition,RE,single
S003,Arsenic affects HR and SSA but not end-joining during DSB repair,,2023,,,37530740,,https://pubmed.ncbi.nlm.nih.gov/37530740/,2026-07-23,primary_research,y,A1,,,,,y,,,"As2O3 lowers HR, not NHEJ; Nalm-6",RE,single
S004,Oncogenomic disruptions in arsenic-induced carcinogenesis,,2017,Oncotarget,,,PMC5421966,https://pmc.ncbi.nlm.nih.gov/articles/PMC5421966/,2026-07-23,review,y,A1,,,,,y,,,error-prone repair -> translocations; LINE-1,RE,single
S005,MSC origin of Ewing sarcoma,Lin et al.,2011,Sarcoma,,20953407,PMC2952797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2952797/,2026-07-23,review,y,A1,,,,,y,,,mesenchymal stem cell origin,RE,single
S006,"EWS::FLI1 in human embryonic MSC -> reprogramming, defective repair, Ewing",,2025,Nat Commun,,,,https://www.nature.com/articles/s41467-025-64475-y,2026-07-23,primary_research,y,A1,,,,,y,,,embryonic MSC permissive; fusion impairs repair,RE,single
S007,"Farm exposures, parental occupation, Ewing sarcoma (Australia case-control)",,2002,Cancer Causes Control,,12020108,,https://www.ncbi.nlm.nih.gov/pubmed/12020108,2026-07-23,primary_research,y,A1,,,,,y,,,maternal pesticide handling ~2x; farm living,RE,single
S008,"Ewing bone sarcoma, paternal occupational exposure",,1992,,,1311140,,https://pubmed.ncbi.nlm.nih.gov/1311140/,2026-07-23,primary_research,y,A1,,,,,y,,,paternal agricultural/pesticide,RE,single
S009,Parental occupational exposures and Ewing sarcoma,,2004,,,15551353,,https://pubmed.ncbi.nlm.nih.gov/15551353/,2026-07-23,primary_research,y,A1,,,,,y,,,,RE,single
S010,Arsenic in drinking water and leukemia/lymphoma: dual effects,,2022,Front Public Health,,35570949,PMC9099091,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9099091/,2026-07-23,review,y,A1,,,,,y,,,inconsistent; As2O3 treats APL,RE,single
S011,Multiple metals in deciduous teeth (community pilot),,2021,J Expo Sci Environ Epidemiol,10.1038/s41370-021-00400-x,,PMC9079191,https://www.nature.com/articles/s41370-021-00400-x,2026-07-23,primary_research,y,A1,,,,,y,,,tooth growth-ring metal reconstruction,RE,single
S012,Infant toenails as biomarker of in utero arsenic,,2014,J Expo Sci Environ Epidemiol,10.1038/jes.2014.38,,,https://www.nature.com/articles/jes201438,2026-07-23,primary_research,y,A1,,,,,y,,,validated in-utero As biomarker,RE,single
S013,Newborn dried blood spots for childhood cancer discovery,,2026,Clin Chem,,,,https://academic.oup.com/clinchem/article/72/1/82/8407365,2026-07-23,review,y,A1,,,,,y,,,archived biomarker resource,RE,single
S014,Ewing sarcoma GWAS susceptibility loci,,2018,,,,PMC6085378,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6085378/,2026-07-23,primary_research,y,A1,,,,,y,,,germline/ancestry component,RE,single
S015,"Perinatal PM air pollution and childhood Ewing sarcoma, California 1988-2015",,2025,,,,PMC11887085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11887085/,2026-07-23,primary_research,y,A1,,,,,y,,,different exposure; CA registry active,RE,single
