apn,siteAddress,yearBuiltRaw,bedrooms,apnSource,limitation
125-181-01,ADDRESS NOT AVAILABLE,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-02,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-11,ADDRESS NOT AVAILABLE,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-12,,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-14,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-17,ADDRESS NOT AVAILABLE,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-20,,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-22,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-23,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-24,ADDRESS NOT AVAILABLE,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-25,ADDRESS NOT AVAILABLE,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-26,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-28,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-29,,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-30,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-31,,0,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-32,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-38,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-39,ADDRESS NOT AVAILABLE,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-42,,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-43,ADDRESS NOT AVAILABLE,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-49,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-50,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-51,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-52,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-53,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-54,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-55,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-56,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-57,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
125-181-58,26772 AVERY PKWY,,,"OC Parcels FeatureServer (official County ArcGIS), acquired 2026-07-28","YEAR_BUILT is an Assessor attribute, blank for ~99.9% of Ladera parcels; NOT an occupancy record"
