tractNumber,tractId,bookPage,recordDate,recordYear,jurisdiction,engineeringCompany,aliasesAndLineage,multiDateAcceptance,inLaderaCanonicalSet,sourceId,limitations
15615,LH-TRACT-15615,MM 777/14-31,1998-12-11,1998,UNINCORPORATED,HUITT-ZOLLARS INC,contains_or_matches_extent:15616; contains_or_matches_extent:15618; contains_or_matches_extent:15621; contains_or_matches_extent:15622; contains_or_matches_extent:15624; contains_or_matches_extent:15628; contains_or_matches_extent:15630; documented_parent_child_map:15617; documented_parent_child_map:15620; documented_parent_child_map:15623; documented_parent_child_map:15625; documented_parent_child_map:15626; documented_parent_child_map:15627; documented_parent_child_map:15629; documented_parent_child_map:15631; documented_parent_child_map:15632,YES - do not collapse to one completion date,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15621,LH-TRACT-15621,MM 781/14-16,1999-03-30,1999,UNINCORPORATED,HUITT-ZOLLARS INC,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15625,LH-TRACT-15625,MM 782/38-44,1999-04-22,1999,UNINCORPORATED,FUSCOE ENGRING,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15623,LH-TRACT-15623,MM 784/19-21,1999-05-04,1999,UNINCORPORATED,HUITT-ZOLLARS INC,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15626,LH-TRACT-15626,MM 784/32-35,1999-05-07,1999,UNINCORPORATED,HUITT-ZOLLARS INC,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15622,LH-TRACT-15622,MM 784/47-50,1999-05-14,1999,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15627,LH-TRACT-15627,MM 785/17-20,1999-05-14,1999,UNINCORPORATED,,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15630,LH-TRACT-15630,MM 785/10-16,1999-05-14,1999,UNINCORPORATED,WAGNER PACIFIC,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15620,LH-TRACT-15620,MM 785/6-9,1999-05-15,1999,UNINCORPORATED,HUITT-ZOLLARS INC,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15628,LH-TRACT-15628,MM 786/23-26,1999-05-25,1999,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15618,LH-TRACT-15618,MM 786/44-47,1999-05-28,1999,UNINCORPORATED,HUITT-ZOLLARS INC,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15616,LH-TRACT-15616,MM 787/39-42,1999-06-30,1999,UNINCORPORATED,FUSCOE ENGRING,contains_or_matches_extent:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15629,LH-TRACT-15629,MM 787/43-47,1999-06-30,1999,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,documented_parent_child_map:15615,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
