address,addressPointId,apn,apnStatus,leafTractNumber,allContainingTractIds,streetNameNormalized,neighborhood,village,matchStatus,sourceIds
9 PADDOCK PL,87080074,,NOT_IN_REPOSITORY - request APN from County; do not infer,16271,LH-TRACT-16271,PADDOCK PL,Tarleton 2,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
8 HINTERLAND WAY,87085790,,NOT_IN_REPOSITORY - request APN from County; do not infer,16341,LH-TRACT-16341,HINTERLAND WAY,Valmont,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
71 IRON HORSE TRL,87081307,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,IRON HORSE TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 BLUE SPRUCE DR,92723925,,NOT_IN_REPOSITORY - request APN from County; do not infer,16102,LH-TRACT-16102;LH-TRACT-16155,BLUE SPRUCE DR,Willow Bend 1,Avendale,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
58 PLATINUM CIR,92697537,,NOT_IN_REPOSITORY - request APN from County; do not infer,16271,LH-TRACT-16271,PLATINUM CIR,Sutter's Mill,Terramor,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
8 DIGBY ST,87079330,,NOT_IN_REPOSITORY - request APN from County; do not infer,16203,LH-TRACT-16203,DIGBY ST,Davenport,Wycliffe,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
2 COUSTEAU LN,52065704,,NOT_IN_REPOSITORY - request APN from County; do not infer,16245,LH-TRACT-16245;LH-TRACT-16235,COUSTEAU LN,Trail Ridge 2,Echo Ridge,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
3 THORNHILL ST,52063657,,NOT_IN_REPOSITORY - request APN from County; do not infer,15624,LH-TRACT-15624;LH-TRACT-15615,THORNHILL ST,Wyeth 2,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
26 IRON HORSE TRL,87081284,,NOT_IN_REPOSITORY - request APN from County; do not infer,15630,LH-TRACT-15630;LH-TRACT-15615,IRON HORSE TRL,The Trails,Oak Knoll,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
76 MERCANTILE WAY UNIT 409,91407586,,NOT_IN_REPOSITORY - request APN from County; do not infer,15884,LH-TRACT-15884,MERCANTILE WAY,The Gables 2,Township,exact_directory_match,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS
