roadName,tractSource,tractNumberParsed,tractAcceptanceDate,serviceArea,limits,objectId,keyNum,gisMiles,status,isMultiDateTract,sourceId,doNotClaim
CROWN VALLEY PARKWAY,RES. NO.01-105,,2001-04-03,NORTH LADERA RANCH,144' E/JARDINES TO 156' W/CECIL PASTURE RD.,2257,68581,0.330000013,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ANTONIO PARKWAY,ROS 98-1014,,1999-03-23,LADERA RANCH,0.08 SW/ DEERPATH TO ORTEGA HIGHWAY,1914,17403,4.4000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ARTISAN STREET,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,BENJAMIN DR. TO 129'  NORTHWESTERLY,1937,19395,0.0199999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BENJAMIN DRIVE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,60' W/ ANTONIO PKWY. TO SIENNA PKWY.,1981,28038,0.50999999,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BLAKEMORE DRIVE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,SIENNA PKWY. TO 241' NORTHERLY,2003,30549,0.0399999991,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CHANTILLY LANE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,BENJAMIN DR. TO 66' EASTERLY,2153,57402,0.00999999978,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (N1/2),TR 15615,15615,2001-07-24,NORTH LADERA RANCH,156' W/ CECIL PASTURE TO 61' W/ ANTONIO PKWY.,2258,68582,1.16999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
IRON HORSE TRAIL,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,SIENNA PKWY. TO 137' SOUTH,2599,117529,0.0299999993,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
KYLE COURT,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,SIENNA PKWY. TO 88' EASTERLY,2664,127561,0.0199999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LAURELHURST DRIVE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,36' SE/ TO 65' NW/ WALDEN ST.,2710,137552,0.0199999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MCGWIRE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,ONEILL DR. TO 350' WEST,2842,155125,0.0700000003,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,BENJAMIN DR. TO CROWN VALLEY PKWY.,2966,175310,0.560000002,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,BENJAMIN DR. TO CROWN VALLEY PKWY.,3243,217675,0.569999993,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SKYWOOD STREET,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,SIENNA PKWY. TO 117' SOUTH,3284,221704,0.0199999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SLEEPY HOLLOW LANE,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,SIENNA PKWY. TO 82' NORTHERLY,3288,221759,0.0199999996,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
THORNHILL STREET,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,BENJAMIN DR. TO 65' SOUTHERLY,3374,234515,0.00999999978,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WALDEN STREET,TR 15615,15615,2001-07-24,NORTH LADERA RANCH,31'NE/ LAURELHURST DR. TO 131'SW/ SIENNA PKWY.,3445,238436,0.0500000007,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAYBECK LANE,TR 15615,15615,2002-07-24,NORTH LADERA RANCH,ONEILL DR. TO 451' SOUTHERLY,2833,154299,0.0900000036,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WINFIELD DRIVE,TR 15615,15615,2002-07-24,NORTH LADERA RANCH,ONEILL DR.TO  270' SW/O MASON LN.,3512,239156,0.0500000007,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
KYLE COURT,TR 15616,15616,2002-02-26,NORTH LADERA RANCH,88' E/O SIENNA PKWY. TO KYLE CT. & CDS,2665,127562,0.280000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLAWSON STREET,TR 15617,15617,2002-04-09,NORTH LADERA RANCH,KEMPTON LANE TO END,2198,62200,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HEMPSTED STREET,TR 15617,15617,2002-04-09,NORTH LADERA RANCH,KEMPTON LANE TO END,2536,111495,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
KEMPTON LANE,TR 15617,15617,2002-04-09,NORTH LADERA RANCH,35' SE/ BLAKEMORE DR. TO END,2638,124060,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
