partyName,role,nameVariantsToSearch,sourceId,origin
Warmington Homes,builder,Warmington Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Shea Homes,builder,Shea Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Standard Pacific Homes,builder,Standard Pacific Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Warmington,builder,Warmington,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Standard Pacific,builder,Standard Pacific,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
D.R. Horton,builder,D.R. Horton,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Barratt American,builder,Barratt American,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
John Laing Homes,builder,John Laing Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
William Lyon Homes,builder,William Lyon Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Centex Homes,builder,Centex Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Lyon Homes,builder,Lyon Homes,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,builder_product_chronology.csv
K. Hovnanian,builder,K. Hovnanian,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,builder_product_chronology.csv
DMB-Ladera,builder,DMB-Ladera,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,builder_product_chronology.csv
Pardee,builder,Pardee,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,builder_product_chronology.csv
Laing,builder,Laing,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,builder_product_chronology.csv
John Laing,builder,John Laing,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
MBK Homes,builder,MBK Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
K Hovnanian,builder,K Hovnanian,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Taylor Woodrow,builder,Taylor Woodrow,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Brookfield Homes,builder,Brookfield Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Richmond American,builder,Richmond American,LH-SRC-OC-BOND-2006Q4,builder_product_chronology.csv
Pulte Homes,builder,Pulte Homes,LH-SRC-OC-BOND-2006Q4,builder_product_chronology.csv
Pardee Homes,builder,Pardee Homes,LH-SRC-OC-BOND-2006Q4,builder_product_chronology.csv
Greystone,builder,Greystone,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
Barratt Homes,builder,Barratt Homes,LH-SRC-ACTIVERAIN-2010,builder_product_chronology.csv
