absorptionId,builtAndOccupiedUnits,confidence,definition,district,limitations,sourceIds,statementClass,year
LH-ABS-CFD-99-1-PHASE-I-1999,97,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,1999
LH-ABS-CFD-99-1-PHASE-I-2000,557,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2000
LH-ABS-CFD-99-1-PHASE-I-2001,276,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2001
LH-ABS-CFD-99-1-PHASE-I-2002,30,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2002
LH-ABS-CFD-99-1-PHASE-I-2003,0,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2003
LH-ABS-CFD-99-1-PHASE-I-2004,14,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2004
LH-ABS-CFD-99-1-PHASE-I-2005,98,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2005
LH-ABS-CFD-99-1-PHASE-I-2006,57,high,Absorption = Built and Occupied,CFD 99-1 Phase I,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2006
LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2003,158,high,Absorption = Built and Occupied,CFD 2002-1 Urban Activity Center,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2003
LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2004,179,high,Absorption = Built and Occupied,CFD 2002-1 Urban Activity Center,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2004
LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2005,49,high,Absorption = Built and Occupied,CFD 2002-1 Urban Activity Center,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2005
LH-ABS-CFD-2003-1-PHASE-V-2004,741,high,Absorption = Built and Occupied,CFD 2003-1 Phase V,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2004
LH-ABS-CFD-2003-1-PHASE-V-2005,375,high,Absorption = Built and Occupied,CFD 2003-1 Phase V,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2005
LH-ABS-CFD-2003-1-PHASE-V-2006,126,high,Absorption = Built and Occupied,CFD 2003-1 Phase V,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4,documented_exact,2006
LH-ABS-CFD-2004-1-PHASE-VI-2005,312,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2005
LH-ABS-CFD-2004-1-PHASE-VI-2006,393,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2006
LH-ABS-CFD-2004-1-PHASE-VI-2007,141,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2007
LH-ABS-CFD-2004-1-PHASE-VI-2008,31,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2008
LH-ABS-CFD-2004-1-PHASE-VI-2009,15,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2009
LH-ABS-CFD-2004-1-PHASE-VI-2010,0,high,Absorption = Built and Occupied,CFD 2004-1 Phase VI,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,2010
