occupancyEventId,relatedEventId,geographyId,geographyType,eventClass,eventTitle,earliestDate,latestDate,datePrecision,homeCount,habitabilityConclusion,occupancyConclusion,geometryId,geometryStatus,sourceIds,statementClass,confidence,confidenceRationale,limitations,reviewStatus,proximityEligible
LH-OCC-EVT-006,LH-EVT-006,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,Dirt Tour sales begin,1999-08-01,1999-08-31,month,,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Exact day not published No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-007,LH-EVT-007,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,93 new homes sold,1999-10-01,1999-10-31,month,93,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Sales figure awaits original sales ledger corroboration No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-008,LH-EVT-008,LH-FEAT-OCCUPANCY,community_nonspatial,first_documented_resident,First resident moves in,1999-12-14,1999-12-14,day,,not_established,community_level_only,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Community-level event; village assignment is not encoded without a primary occupancy record No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-010,LH-EVT-010,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,562 total new homes sold,2000-03-01,2000-03-31,month,562,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 469 new and 562 total No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-012,LH-EVT-012,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,1546 total new homes sold,2001-02-01,2001-02-28,month,1546,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 984 new and 31 neighborhoods open No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-017,LH-EVT-017,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,2488 total new homes sold,2002-03-01,2002-03-31,month,2488,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 942 new and 54 neighborhoods open No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-019,LH-EVT-019,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,3987 total new homes sold,2003-04-01,2003-04-30,month,3987,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline also reports population 6112 No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-024,LH-EVT-024,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,5087 total new homes sold,2004-01-01,2004-01-31,month,5087,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 1100 new homes since prior milestone No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-027,LH-EVT-027,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,5879 total new homes sold,2005-02-01,2005-02-28,month,5879,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 792 new homes since prior milestone No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
LH-OCC-EVT-030,LH-EVT-030,LH-FEAT-SALES,community_nonspatial,sale_count_not_occupancy,6380 total new homes sold,2006-03-01,2006-03-31,month,6380,not_established,not_established,,not_available,LH-SRC-LARMAC-TIMELINE,documented_exact,medium,The source supports the stated community milestone; it does not locate homes or establish occupied-area extent.,Timeline reports 501 new homes since prior milestone No tract or neighborhood occupancy geometry is inferred.,bounded_nonspatial_record,false
