schoolTimelineId,schoolProjectId,schoolIds,milestoneType,earliestDate,latestDate,datePrecision,observedState,directOrInferred,geometryId,sourceIds,confidence,confidenceRationale,limitations,reviewStatus
LH-SCHOOL-TIMELINE-001,LH-SCHOOL-PROJECT-04-101335,LH-SCHOOL-CHAPARRAL,dsa_application_received,1999-06-30,1999-06-30,day,DSA received the project application.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-002,LH-SCHOOL-PROJECT-04-101335,LH-SCHOOL-CHAPARRAL,dsa_plan_approved,2000-03-09,2000-03-09,day,DSA approved the submitted plans.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-003,LH-SCHOOL-PROJECT-04-101335,LH-SCHOOL-CHAPARRAL,dsa_field_review_interval,2001-09-06,2003-02-13,month_or_interval,DSA records a field-review interval for the project.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-004,LH-SCHOOL-PROJECT-04-101335,LH-SCHOOL-CHAPARRAL,school_operation_open,2001-09-01,2001-09-30,month_or_interval,The official school source establishes campus operation by this date or month.,direct,school_centroid_only,LH-SRC-CUSD-CHAPARRAL,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-005,LH-SCHOOL-PROJECT-04-101335,LH-SCHOOL-CHAPARRAL,dsa_project_certified,2003-12-18,2003-12-18,day,DSA issued certification and closed the project file.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-006,LH-SCHOOL-PROJECT-04-102435,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,dsa_application_received,2000-08-04,2000-08-04,day,DSA received the project application.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-007,LH-SCHOOL-PROJECT-04-102435,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,dsa_plan_approved,2001-04-19,2001-04-19,day,DSA approved the submitted plans.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-008,LH-SCHOOL-PROJECT-04-102435,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,dsa_field_review_interval,2000-08-04,2005-03-16,month_or_interval,DSA records a field-review interval for the project.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-009,LH-SCHOOL-PROJECT-04-102435,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,school_operation_open,2003-08-27,2003-08-27,day,The official school source establishes campus operation by this date or month.,direct,school_centroid_only,LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
LH-SCHOOL-TIMELINE-010,LH-SCHOOL-PROJECT-04-102435,LH-SCHOOL-LRES;LH-SCHOOL-LRMS,dsa_project_certified,2006-04-26,2006-04-26,day,DSA issued certification and closed the project file.,direct,,LH-SRC-DGS-DSA-TRACKER,high,Direct official registry or official school opening statement.,This milestone does not by itself establish active-construction geometry or historical attendance assignment.,reviewed
