claimId,supportingObservationCount,independentSourceOrganizationCount,primarySourceCount,contemporarySourceCount,visualSourceCount,conflictingObservationCount,geographicPrecision,temporalPrecision,directness,sourceAuthority,completeness,finalConfidence,confidenceRationale,exhaustionStatus,limitations
LH-CLM-TRACT-15615,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15616,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15617,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15618,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15619,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15620,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15621,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15622,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15623,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15624,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15625,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15626,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15627,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15628,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15629,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15630,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15631,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15632,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15793,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15813,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15827,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15884,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15885,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15886,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15887,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
LH-CLM-TRACT-15888,1,1,1,0,0,0,tract_polygon,day,direct_observation,official_primary,claim_bounded,high,Counts are based on independent registered source IDs; copies of one source are not counted separately.,authoritative_single_source,The claim is limited to recording and carries no physical-development lifecycle meaning.
