tractId,tentativeTract,finalTract,planningAreaId,villageId,neighborhoodId,builderIds,productIds,approvalDate,mapRecordingDate,gradingStartRange,gradingEndRange,infrastructureRange,roadConstructionRange,verticalConstructionRange,modelOpeningRange,firstSaleRange,earliestHabitabilityRange,firstOccupancyRange,partialOccupancyRange,substantialOccupancyRange,completionRange,associatedSchoolByYear,nearestOpenSchoolByYear,activeConstructionOverlap,sourceIds,evidenceCount,milestoneConfidence,unresolvedGaps,reviewStatus
LH-TRACT-15615,,15615,,,,,,,1998-12-11,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15616,,15616,,,,,,,1999-06-30,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15617,,15617,,,,,,,1999-07-28,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15618,,15618,,,,,,,1999-05-28,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15619,,15619,,,,,,,2001-03-09,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15620,,15620,,,,,,,1999-05-15,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15621,,15621,,,,,,,1999-03-30,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15622,,15622,,,,,,,1999-05-14,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15623,,15623,,,,,,,1999-05-04,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15624,,15624,,,,,,,2000-04-06,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15625,,15625,,,,,,,1999-04-22,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15626,,15626,,,,,,,1999-05-07,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15627,,15627,,,,,,,1999-05-14,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
LH-TRACT-15628,,15628,,,,,,,1999-05-25,,,,,,,,,,,,,,not_calculated_without_historical_assignment_or_subject_geometry,not_calculated,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,1,recording_high;physical_lifecycle_unknown,approval;hierarchy;builder;grading;infrastructure;roads;vertical;models;sales;habitability;occupancy;completion,blocked_pending_lifecycle_records
