stationContextId,stationFileId,year,month,rawReportCount,deduplicatedHourCount,expectedCalendarHours,validSpeedHourCount,validDirectionalHourCount,validSpeedCoveragePct,meanSpeedMS,medianSpeedMS,p90SpeedMS,maxSustainedSpeedMS,calmHourPct,strongWindHourCountGe10MS,northerlyPct,easterlyPct,southerlyPct,westerlyPct,prevailingSector,timeBasis,sourceIds,statementClass,confidence,limitations
LH-WIND-EL-TORO,69014093101,1997,,9076,8760,8760,8745,7393,99.83,2.004,1.500,4.100,14.400,13.52,30,8.16,31.16,22.59,38.09,westerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,99999993101,1999,,190,184,8760,0,0,0.00,,,,,,0,0.00,0.00,0.00,0.00,,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-EL-TORO,99999993101,2000,,316,305,8784,0,0,0.00,,,,,,0,0.00,0.00,0.00,0.00,,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,1997,,14536,8760,8760,5599,4816,63.92,3.648,3.600,6.200,28.300,13.43,53,5.54,11.65,59.07,23.73,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,1998,,14472,8760,8760,5503,4811,62.82,3.713,4.100,6.200,15.400,11.47,40,3.60,9.56,58.66,28.19,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,1999,,18120,8760,8760,8032,5517,91.69,2.390,2.600,4.600,15.400,26.13,13,5.17,12.14,51.66,31.03,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297799999,2000,,10032,8685,8784,8023,5687,91.34,2.257,2.100,4.600,13.400,29.08,12,6.56,12.55,50.03,30.86,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297799999,2001,,9878,8650,8760,7089,5807,80.92,2.739,2.600,4.600,11.300,11.02,4,5.67,13.67,51.44,29.22,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297799999,2002,,9674,8559,8760,8202,5686,93.63,2.387,2.100,4.600,13.900,22.85,9,6.24,11.84,51.53,30.39,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297799999,2003,,10001,8587,8760,8583,5712,97.98,2.244,2.100,4.600,15.900,26.96,24,6.27,12.29,52.98,28.47,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2004,,18825,8784,8784,8605,5785,97.96,2.333,2.100,4.600,11.800,26.46,9,6.52,15.44,53.31,24.74,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2005,,10722,8760,8760,8760,5493,100.00,2.113,2.100,4.600,10.300,31.91,2,5.79,13.78,51.36,29.07,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2006,,10702,8760,8760,8757,5713,99.97,2.240,2.100,4.600,11.800,27.93,9,6.97,11.59,50.43,31.02,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2007,,10501,8760,8760,8760,5849,100.00,2.328,2.100,4.600,11.800,27.01,14,7.08,12.58,51.82,28.52,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2008,,10748,8783,8784,8761,5436,99.74,2.051,2.100,4.600,12.400,33.30,12,4.91,11.81,52.43,30.85,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2009,,10800,8759,8760,8757,5290,99.97,1.944,2.100,4.100,11.800,33.74,3,6.12,10.95,49.49,33.44,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
LH-WIND-JOHN-WAYNE,72297793184,2010,,11176,8759,8760,8758,5477,99.98,2.022,2.100,4.600,11.800,32.84,6,4.73,11.92,51.14,32.21,southerly,UTC,LH-SRC-NOAA-GLOBAL-HOURLY;LH-SRC-NOAA-ISD-HISTORY,documented_approximate,medium,Regional station observation; not downscaled to Ladera Ranch and not a model of air movement between locations.
