image_id,title,date,repository,rights,interpretation_boundary,original_path,original_dimensions,published_file,published_dimensions,published_kb,confidence
FIG-01,"The footprint across four epochs, with the 1968 water layer overprinted",1929-2022,This investigation,Derived figure. Underlying imagery credited in the caption; derived layout CC BY 4.0.,"Panels share one extent and georeferencing. Cyan circles mark water bodies as drawn by the 1968 USGS survey; they are centroids, not digitised outlines. The cyan box is an approximate screening boundary, not a legal boundary.",research/historical_imagery/11_timeseries_1929-2022_with_water.jpg,2330x2124,assets/images/fig-01.jpg,1800x1641,671,High - direct reproduction of source imagery
FIG-02,"1929 aerial photograph, South County Watersheds frame",1929,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.","Twelve years after compulsory cattle dipping ended. Open rangeland; no structures resolvable inside Zone A. The dark wedge at upper left is outside the frame's coverage, not terrain.",research/historical_imagery/oc_aerials/ann_1929.jpg,6000x5200,assets/images/fig-02.jpg,1800x1560,409,High - direct reproduction of source imagery
FIG-03,"1937-38 aerial photograph, 600-scale county series",1937-1938,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.","The sharpest frame available, at approximately 1.15 ft/px. Individual oaks, fence lines and wheel ruts are legible. No corral, pen or vat complex is resolvable inside Zone A.",research/historical_imagery/oc_aerials/ann_1937.jpg,6000x5200,assets/images/fig-03.jpg,1800x1560,756,High - direct reproduction of source imagery
FIG-04,"The same ground, built out",2022,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.",Rendered to the identical extent as the historical frames. That Zone A lands on the real subdivisions is the independent check on georeferencing of the whole series.,research/historical_imagery/oc_aerials/ann_2022.jpg,4000x3467,assets/images/fig-04.jpg,1800x1560,801,High - direct reproduction of source imagery
FIG-05,"The Trabuco Creek ranch node at 100 m scale, 1937-38",1937-1938,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.","Centred on 33.55505, -117.65492. The red ink label is the county cartographer's own and reads Trabuco Creek. A single structure at a trail convergence beside water is consistent with a ranch working area AND equally consistent with a line camp, barn or ranch house. It is NOT identified as a dip site.",research/historical_imagery/oc_aerials/z1_ranch_1937.jpg,2730x2274,assets/images/fig-05.jpg,1800x1499,367,High - direct reproduction of source imagery
FIG-06,The same location today,2022,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.",For comparison with FIG-05 at identical extent and scale.,research/historical_imagery/oc_aerials/z1_ranch_2022_modern.jpg,1818x1518,assets/images/fig-06.jpg,1800x1503,345,High - direct reproduction of source imagery
FIG-07,"USGS 7.5-minute San Juan Capistrano quadrangle, 1968 revision",1968,U.S. Geological Survey,Public domain (U.S. Government work).,"The source of the 41-body surface-water layer. Shows the impoundment chain down the Trabuco corridor, a labelled Water Tank, a Terminal Reservoir, a landing strip and a gaging station. The land grant is labelled MISSION VIEJO OR LA PAZ.",research/historical_imagery/03_topo_1968_footprint.jpg,2336x2400,assets/images/fig-07.jpg,1752x1800,806,High - direct reproduction of source imagery
FIG-08,"USGS 7.5-minute San Juan Capistrano quadrangle, 1948 edition",1948,U.S. Geological Survey,Public domain (U.S. Government work).,"The earliest topographic sheet covering the footprint. Note that USGS symbology has no dipping-vat symbol, so absence of a vat on this sheet carries little evidential weight.",research/historical_imagery/01_topo_1948_footprint.jpg,2336x2400,assets/images/fig-08.jpg,1752x1800,908,High - direct reproduction of source imagery
FIG-09,"USGS orthophoto quadrangle, 1974",1974,U.S. Geological Survey,Public domain (U.S. Government work).,Still open rangeland with dirt tracks and the riparian corridor. Mission Viejo's build-out is visible to the west.,research/historical_imagery/04_aerial_1974_footprint.jpg,2337x2400,assets/images/fig-09.jpg,1753x1800,887,High - direct reproduction of source imagery
FIG-10,One tile from the systematic survey grid,1937-1938,"OC Survey Geospatial Services, County of Orange","Public record, County of Orange. Retrieved from the county's public ArcGIS image service.",Zone A was divided into a 4x3 grid and each tile examined at full resolution for both the 1929 and 1937-38 frames - 24 tiles in total. Each carries its own corner coordinates and a 200 m scale bar so any reader can return to the same ground. Pencil annotations are original survey marks on the county's working print.,research/historical_imagery/oc_aerials/tiles/1937_r1c1.jpg,2038x1810,assets/images/fig-10.jpg,1800x1599,348,High - direct reproduction of source imagery
