characterCount,error,extractionDate,inputFile,limitations,method,ocrUsed,outputChecksumSha256,outputFile,pageCount,sourceId,status
19236,,2026-07-27,evidence/lhdrs/mission5/pdf/oc_bond_monitoring_2006_q4.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,15aa94db0ec0a2bd1423d50cb774c99228ce17159df0e4e8c18fe39a1275f3a5,evidence/lhdrs/mission5/text/oc_bond_monitoring_2006_q4.txt,18,LH-SRC-OC-BOND-2006Q4,extracted
14597,,2026-07-27,evidence/lhdrs/mission5/pdf/oc_bond_monitoring_2011_q4.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,891139bc65b2b6ee6cb2c780504ba0514f50cded9c9abe0d6a106c21e94ac8d2,evidence/lhdrs/mission5/text/oc_bond_monitoring_2011_q4.txt,17,LH-SRC-OC-BOND-2011Q4,extracted
16640,,2026-07-27,evidence/lhdrs/mission5/pdf/oc_cfd_resolution_history.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,bcc38ea19f7a705d4aaef2ba46baebc567e9bd8e9adfdb7475c350fa0d6f5789,evidence/lhdrs/mission5/text/oc_cfd_resolution_history.txt,6,LH-SRC-OC-CFD-HISTORY,extracted
13591,,2026-07-27,evidence/lhdrs/mission5/pdf/oc_local_accountability_2018.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,f27299015cc1bf48c6fad3df7aca58cae2a307905e0ad06764e1888aa362d5cc,evidence/lhdrs/mission5/text/oc_local_accountability_2018.txt,7,LH-SRC-OC-LADR-2018,extracted
21188,,2026-07-27,evidence/lhdrs/mission5/pdf/laderalife_street_neighborhood_list_2019.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,6543bc7824ce8955fe2954483ffa68946c197f880150869f5356a9e9b76b2a69,evidence/lhdrs/mission5/text/laderalife_street_neighborhood_list_2019.txt,9,LH-SRC-LARMAC-STREETS-2019,extracted
20276,,2026-07-27,evidence/lhdrs/mission5/pdf/covenant_hills_design_guidelines_ch1_2006.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,020f6498a1302a08b4defe8ec672340d60762054a22a358b8d260f7e1215feba,evidence/lhdrs/mission5/text/covenant_hills_design_guidelines_ch1_2006.txt,8,LH-SRC-LARMAC-CUSTOM-2006,extracted
31124,,2026-07-27,evidence/lhdrs/mission5/pdf/ladera_ranch_transportation_survey_2008.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,68e2a0134c7aa8f4e0d2f1f07a49ce1c335027dbe3d1b342f93c4b2213b4ee6c,evidence/lhdrs/mission5/text/ladera_ranch_transportation_survey_2008.txt,35,LH-SRC-OC-TRANSPORT-2008,extracted
44888,,2026-07-27,evidence/lhdrs/mission5/pdf/roots_and_wings_winter_2019.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,1498ab6c8e9f2154d2d9f1164a898a76d0f2be1690278fc3337e344fdaff84b2,evidence/lhdrs/mission5/text/roots_and_wings_winter_2019.txt,11,LH-SRC-LARMAC-RW-2019W,extracted
53014,,2026-07-27,evidence/lhdrs/mission5/pdf/roots_and_wings_spring_2020.pdf,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,pdfplumber_embedded_text_extraction,false,7c4c9dd1365f4877c876a7d43ee9c51ec03a6a675d65b7e3c077b1c342772e4e,evidence/lhdrs/mission5/text/roots_and_wings_spring_2020.txt,11,LH-SRC-LARMAC-RW-2020S,extracted
11920,,2026-07-27,evidence/lhdrs/mission5/html/laderalife_timeline_2026.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,4525d0b9570ddaca6ab5cd8f28e2abe0c545d1dc9cbf8ed4c7c0f52d0a06c331,evidence/lhdrs/mission5/text/laderalife_timeline_2026.txt,0,LH-SRC-LARMAC-TIMELINE-M5,extracted
9822,,2026-07-27,evidence/lhdrs/mission5/html/probuilder_happy_trails_1999.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,90cf5007701dbc768c09b962ee6dcc3c8ad456da68ce606cc513ccdaba620591,evidence/lhdrs/mission5/text/probuilder_happy_trails_1999.txt,0,LH-SRC-PROB-TRAILS-1999,extracted
7164,,2026-07-27,evidence/lhdrs/mission5/html/latimes_builders_1998.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,9ad11a4676486088d6341c9f3c62131c1b697bb1dacbc928e62a8113acac5d03,evidence/lhdrs/mission5/text/latimes_builders_1998.txt,0,LH-SRC-LAT-BUILDERS-1998,extracted
6517,,2026-07-27,evidence/lhdrs/mission5/html/latimes_phase1_builders_1999.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,03297d82aa15f1e1669365e0cd9ef3643c384512f6e014c782bd4a2cb00d9e19,evidence/lhdrs/mission5/text/latimes_phase1_builders_1999.txt,0,LH-SRC-LAT-PHASE1-1999,extracted
10651,,2026-07-27,evidence/lhdrs/mission5/html/latimes_grand_opening_1999.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,10af6bc8ee354d9b69643da94a92a92dbd7a3422c03e5ba9081e40676dce3755,evidence/lhdrs/mission5/text/latimes_grand_opening_1999.txt,0,LH-SRC-LAT-OPENING-1999,extracted
11159,,2026-07-27,evidence/lhdrs/mission5/html/latimes_first_residents_1999.html,Text extraction preserves discoverable text but is not a substitute for visual table and image review.,html_parser_visible_text_extraction,false,1743a298f8ed3fe03db760806772b1edfcc7ed7ad015512f530812e731a5de79,evidence/lhdrs/mission5/text/latimes_first_residents_1999.txt,0,LH-SRC-LAT-FIRST-RESIDENT-1999,extracted
