archiveStatus,bytes,checksumSha256,error,isOfficial,isPrimary,localFilePath,path,publicationDate,publisher,recordCount,reliabilityGrade,retrievalDate,sourceId,sourceType,title,url
retrieved,1206000,7f26bd50de1e4ab31b647a0c8cb8cd14c027f9e2980de34ba87ebf73b516ac48,,true,true,evidence/lhdrs/mission6/pdf/lhdrs_road_index_2024.pdf,pdf/lhdrs_road_index_2024.pdf,,County of Orange / OC Public Works,,A1,2026-07-27,LH-SRC-M6-LHDRS-ROAD-INDEX-2024,official_board_attachment,board_certified_road_index_snapshot,https://cams.ocgov.com/Web_Publisher_sam/Agenda05_21_2024_files/images/O01424-000282A.PDF
retrieved,474879,595d51eb909fc8096e01fc5e1ce1b0b4785a2e7973f8ac269f876e689153db59,,true,true,evidence/lhdrs/mission6/gis/oc_road_index_ladera_2026-07-27.geojson,gis/oc_road_index_ladera_2026-07-27.geojson,,Orange County Survey / OC Public Works,,A1,2026-07-27,LH-SRC-M6-OC-ROAD-INDEX-LADERA-2026-07-27,official_live_feature_service,georeferenced_road_segment_acceptance_evidence,https://ocgis.com/arcpub/rest/services/Map_Layers/Road_Index_Centerlines/FeatureServer/0/query?where=SERVICE_AREA%20LIKE%20%27%25LADERA%25%27&outFields=*&returnGeometry=true&outSR=4326&orderByFields=TRACTNO%2CTRACT_ACCEPT_DATE%2CROADNAME&f=geojson
retrieved,16037,0e659968ee1570bafeeaef383953f909ff63f3b51ebb88e95e080ba02535992f,,true,true,evidence/lhdrs/mission6/gis/oc_road_index_centerlines_layer_metadata_2026-07-27.json,gis/oc_road_index_centerlines_layer_metadata_2026-07-27.json,,Orange County Survey / OC Public Works,,A1,2026-07-27,LH-SRC-M6-OC-ROAD-INDEX-CENTERLINES-LAYER-METADATA,official_service_metadata,road_index_schema_and_provenance,https://ocgis.com/arcpub/rest/services/Map_Layers/Road_Index_Centerlines/FeatureServer/0?f=pjson
retrieved,7335,a69ece65302e3aa22ea3afa1becb60c20b2bcd8fe65f08802dcf30f449da13ac,,true,true,evidence/lhdrs/mission6/gis/oc_road_index_tr17588_live_2026-07-27.json,gis/oc_road_index_tr17588_live_2026-07-27.json,,Orange County Survey / OC Public Works,,A1,2026-07-27,LH-SRC-M6-OC-ROAD-INDEX-TR17588-LIVE-2026-07-27,official_live_feature_service,source_version_discrepancy_evidence,https://ocgis.com/arcpub/rest/services/Map_Layers/Road_Index_Centerlines/FeatureServer/0/query?where=TRACTNO%20LIKE%20%27%2517588%25%27&outFields=*&returnGeometry=true&outSR=4326&f=pjson
retrieved,31733520,f1bead5842e3bc1d63f6d2681c4bb8319af0a43f04f6ce669b1c5d66f15ffb63,,true,true,evidence/lhdrs/mission6/imagery/oc_historical_aerial_ladera_1995.tif,imagery/oc_historical_aerial_ladera_1995.tif,,Orange County Survey,,A1,2026-07-27,LH-SRC-M6-OC-HISTORICAL-AERIAL-LADERA-1995,official_image_service_export,georeferenced_predevelopment_baseline,https://www.ocgis.com/arcpub/rest/services/Historic_Imagery/Historic_Imagery/ImageServer/
retrieved,57816848,0b785a9da2c9e1da9e055249d137e80e0cca8b79a126461076b7578853a34c0e,,true,true,evidence/lhdrs/mission6/imagery/oc_historical_aerial_ladera_1998.tif,imagery/oc_historical_aerial_ladera_1998.tif,,Orange County Survey,,A1,2026-07-27,LH-SRC-M6-OC-HISTORICAL-AERIAL-LADERA-1998,official_image_service_export,georeferenced_predevelopment_baseline,https://www.ocgis.com/arcpub/rest/services/Historic_Imagery/Historic_Imagery/ImageServer/
retrieved,6399561,b0fcbcdc7896d14d0c680290120591e82e0c24ad9382527add5e4f1d7b48d2c1,,true,true,evidence/lhdrs/mission6/pdf/ladera_planned_community_alternative_development_standards_v4.pdf,pdf/ladera_planned_community_alternative_development_standards_v4.pdf,,County of Orange / OC Development Services,,A1,2026-07-27,LH-SRC-M6-LADERA-PLANNED-COMMUNITY-ALTERNATIVE-DEV,official_planning_record,planned_community_approval_chronology,https://ocds.ocpublicworks.com/sites/ocpwocds/files/import/data/files/9270.pdf
retrieved,38811,9132e40eafe14214baaab1f11854189c8a128d1e583a4a7f5a0e09c3bba893bd,,true,true,evidence/lhdrs/mission6/html/oc_board_agenda_1999-05-04.html,html/oc_board_agenda_1999-05-04.html,,Orange County Board of Supervisors,,A2,2026-07-27,LH-SRC-M6-OC-BOARD-AGENDA-1999-05-04,official_board_agenda,early_tract_and_infrastructure_record_identifiers,https://bos.ocgov.com/legacycob/opinion/agenda/agenda.htm
retrieved,723075,ef76f10afdc4803d0456f263638b46d3013b151ff098b16aa105e220162e9b83,,true,true,evidence/lhdrs/mission6/pdf/cusd_2022_sarc_chaparral_elementary.pdf,pdf/cusd_2022_sarc_chaparral_elementary.pdf,,Capistrano Unified School District,,A1,2026-07-27,LH-SRC-M6-CUSD-2022-SARC-CHAPARRAL-ELEMENTARY,official_school_accountability_report,school_opening_chronology,https://www.capousd.org/documents/Schools/SARCS/Elementary/2022-SARC-Chaparral-Elementary-School.pdf
retrieved,678719,0e91c02f9cec22470a6ebf0c482f5d5b4f589ad99b744d71af88f32a5d77d160,,true,true,evidence/lhdrs/mission6/pdf/cusd_2022_sarc_ladera_ranch_middle.pdf,pdf/cusd_2022_sarc_ladera_ranch_middle.pdf,,Capistrano Unified School District,,A1,2026-07-27,LH-SRC-M6-CUSD-2022-SARC-LADERA-RANCH-MIDDLE,official_school_accountability_report,school_and_library_opening_chronology,https://www.capousd.org/documents/Schools/SARCS/Middle/2022-SARC-Ladera-Ranch-Middle-School.pdf
retrieved,1730378,ea8493809293845dcb3c40f49043cb56a2657bc735936cd46d9a43f0d04147eb,,true,true,evidence/lhdrs/mission6/pdf/cusd_oso_grande_kindergarten_roundup_2022-2023.pdf,pdf/cusd_oso_grande_kindergarten_roundup_2022-2023.pdf,,Capistrano Unified School District / Oso Grande Elementary,,A1,2026-07-27,LH-SRC-M6-CUSD-OSO-GRANDE-KINDERGARTEN-ROUNDUP-202,official_school_publication,school_opening_chronology,https://osogrizzlies.capousd.org/documents/School-Info/Registration-Information/Kindergarten-Roundup-2022-2023-rev.pdf
retrieved,77777,cab8efbdc9f8614b0ef033b08ce2a38da348055cb77c3e028e411c70253bd86f,,true,true,evidence/lhdrs/mission6/html/cusd_tesoro_general_2026-07-27.html,html/cusd_tesoro_general_2026-07-27.html,,Capistrano Unified School District / Tesoro High School,,A2,2026-07-27,LH-SRC-M6-CUSD-TESORO-GENERAL-2026-07-27,official_school_webpage,school_opening_chronology,https://tesoro.capousd.org/General/
retrieved,54973,f0733439d413d3a5eee3e57e22b70ae0bab6c6036f03f14bc75c83f6358b86bf,,true,true,evidence/lhdrs/mission6/html/cusd_ladera_ranch_elementary_about_2026-07-27.html,html/cusd_ladera_ranch_elementary_about_2026-07-27.html,,Capistrano Unified School District / Ladera Ranch Elementary,,A2,2026-07-27,LH-SRC-M6-CUSD-LADERA-RANCH-ELEMENTARY-ABOUT-2026,official_school_webpage,school_opening_chronology,https://lres.capousd.org/School-Info/About-Us/index.html
retrieved,43879,7c9475219f1a7dee18398b20d0458a34126b2b24bbf692a4398e129ab84bb4f1,,true,true,evidence/lhdrs/mission6/pdf/cusd_board_policy_5116_school_attendance_boundaries.pdf,pdf/cusd_board_policy_5116_school_attendance_boundaries.pdf,,Capistrano Unified School District,,A1,2026-07-27,LH-SRC-M6-CUSD-BOARD-POLICY-5116-SCHOOL-ATTENDANCE,official_board_policy,boundary_record_request_authority,https://www.capousd.org/documents/Board/Board-Policies/Article-5-Students/4398085411636825825.pdf
retrieved,108488,31f930416e2be5221799ac8856c1cc3229e529121c46820a0c69540ae78bf4cc,,true,true,evidence/lhdrs/mission6/html/smwd_history_2026-07-27.html,html/smwd_history_2026-07-27.html,,Santa Margarita Water District,,A2,2026-07-27,LH-SRC-M6-SMWD-HISTORY-2026-07-27,official_agency_history,utility_chronology,https://www.smwd.com/244/History
retrieved,352121,24f69e85dcbbae6d527f38f7f9278e11c0f0867c9ff621a4c0f14b35163cd6f1,,true,true,evidence/lhdrs/mission6/pdf/smwd_public_records_policy.pdf,pdf/smwd_public_records_policy.pdf,,Santa Margarita Water District,,A1,2026-07-27,LH-SRC-M6-SMWD-PUBLIC-RECORDS-POLICY,official_records_policy,utility_records_request_authority,https://www.smwd.com/DocumentCenter/View/4854/5j-Public-Record-Policy
retrieved,87700,2c2bfac90432cfb585898806f0d9b13cf8fc2bf1da1e3b54d662183df9bc4fa7,,false,true,evidence/lhdrs/mission6/html/laderalife_explore_ladera_ranch_2026-07-27.html,html/laderalife_explore_ladera_ranch_2026-07-27.html,,Ladera Ranch Maintenance Corporation / LaderaLife,,A2,2026-07-27,LH-SRC-M6-LADERALIFE-EXPLORE-LADERA-RANCH-2026-07,private_hoa_self_published_timeline,facility_commercial_sales_and_custom_lot_chronology,https://laderalife.com/about/explore-ladera-ranch
