address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
9 PADDOCK PL    ,87080074,LH-TRACT-16271,LH-TRACT-16271,exact_directory_match,Tarleton 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,PADDOCK PL,Avendale
8 HINTERLAND WAY    ,87085790,LH-TRACT-16341,LH-TRACT-16341,exact_directory_match,Valmont,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HINTERLAND WAY,Terramor
71 IRON HORSE TRL    ,87081307,LH-TRACT-15630;LH-TRACT-15615,LH-TRACT-15630,exact_directory_match,The Trails,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,IRON HORSE TRL,Oak Knoll
3 BLUE SPRUCE DR    ,92723925,LH-TRACT-16102;LH-TRACT-16155,LH-TRACT-16102,exact_directory_match,Willow Bend 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BLUE SPRUCE DR,Avendale
58 PLATINUM CIR    ,92697537,LH-TRACT-16271,LH-TRACT-16271,exact_directory_match,Sutter's Mill,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,PLATINUM CIR,Terramor
8 DIGBY ST    ,87079330,LH-TRACT-16203,LH-TRACT-16203,exact_directory_match,Davenport,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,DIGBY ST,Wycliffe
2 COUSTEAU LN    ,52065704,LH-TRACT-16245;LH-TRACT-16235,LH-TRACT-16245,exact_directory_match,Trail Ridge 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,COUSTEAU LN,Echo Ridge
3 THORNHILL ST    ,52063657,LH-TRACT-15624;LH-TRACT-15615,LH-TRACT-15624,exact_directory_match,Wyeth 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,THORNHILL ST,Oak Knoll
26 IRON HORSE TRL    ,87081284,LH-TRACT-15630;LH-TRACT-15615,LH-TRACT-15630,exact_directory_match,The Trails,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,IRON HORSE TRL,Oak Knoll
76 MERCANTILE WAY  UNIT  409,91407586,LH-TRACT-15884,LH-TRACT-15884,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MERCANTILE WAY,Township
12 PLATINUM CIR    ,92697514,LH-TRACT-16271,LH-TRACT-16271,exact_directory_match,Sutter's Mill,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,PLATINUM CIR,Terramor
19 CORAL BLUE ST    ,92698020,LH-TRACT-15988,LH-TRACT-15988,exact_directory_match,CH Custom,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CORAL BLUE ST,Covenant Hills
12 SAN JUAN BAUTISTA ST    ,92896327,LH-TRACT-15985,LH-TRACT-15985,exact_directory_match,CH Custom,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SAN JUAN BAUTISTA ST,Covenant Hills
26 CRAFTSBURY PL    ,52065041,LH-TRACT-16122;LH-TRACT-16156,LH-TRACT-16122,exact_directory_match,Sumners Way 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CRAFTSBURY PL,Avendale
4 KANE LN    ,87031074,LH-TRACT-16394;LH-TRACT-15986,LH-TRACT-16394,exact_directory_match,Bellataire 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,KANE LN,Covenant Hills
10 OATFIELD FARM    ,87029933,LH-TRACT-16248;LH-TRACT-16203,LH-TRACT-16248,exact_directory_match,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OATFIELD FARM,Wycliffe
76 MERCANTILE WAY  UNIT  512,91407609,LH-TRACT-15884,LH-TRACT-15884,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MERCANTILE WAY,Township
24 FALKNER DR    ,52065750,LH-TRACT-16238;LH-TRACT-16234,LH-TRACT-16238,exact_directory_match,Tamarind 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,FALKNER DR,Flintridge
33 PLATINUM CIR    ,92697491,LH-TRACT-16271,LH-TRACT-16271,exact_directory_match,Sutter's Mill,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,PLATINUM CIR,Terramor
2 WHEATSTONE FARM    ,87029956,LH-TRACT-16248;LH-TRACT-16203,LH-TRACT-16248,exact_directory_match,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WHEATSTONE FARM,Wycliffe
57 HINTERLAND WAY    ,87085813,LH-TRACT-16341,LH-TRACT-16341,exact_directory_match,Valmont,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HINTERLAND WAY,Terramor
31 SHIVELY RD    ,52065187,LH-TRACT-16119;LH-TRACT-16156,LH-TRACT-16119,exact_directory_match,Willow Bend 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SHIVELY RD,Avendale
23 TISBURY WAY    ,52064135,LH-TRACT-15911;LH-TRACT-15813,LH-TRACT-15911,exact_directory_match,Reston 4,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,TISBURY WAY,Flintridge
4 KANE LN    ,87031074,LH-TRACT-16394;LH-TRACT-15986,LH-TRACT-16394,exact_directory_match,Bellataire 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,KANE LN,Covenant Hills
10 OATFIELD FARM    ,87029933,LH-TRACT-16248;LH-TRACT-16203,LH-TRACT-16248,exact_directory_match,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OATFIELD FARM,Wycliffe
76 MERCANTILE WAY  UNIT  512,91407609,LH-TRACT-15884,LH-TRACT-15884,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,MERCANTILE WAY,Township
24 FALKNER DR    ,52065750,LH-TRACT-16238;LH-TRACT-16234,LH-TRACT-16238,exact_directory_match,Tamarind 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,FALKNER DR,Flintridge
33 PLATINUM CIR    ,92697491,LH-TRACT-16271,LH-TRACT-16271,exact_directory_match,Sutter's Mill,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,PLATINUM CIR,Terramor
2 WHEATSTONE FARM    ,87029956,LH-TRACT-16248;LH-TRACT-16203,LH-TRACT-16248,exact_directory_match,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WHEATSTONE FARM,Wycliffe
57 HINTERLAND WAY    ,87085813,LH-TRACT-16341,LH-TRACT-16341,exact_directory_match,Valmont,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,HINTERLAND WAY,Terramor
31 SHIVELY RD    ,52065187,LH-TRACT-16119;LH-TRACT-16156,LH-TRACT-16119,exact_directory_match,Willow Bend 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SHIVELY RD,Avendale
23 TISBURY WAY    ,52064135,LH-TRACT-15911;LH-TRACT-15813,LH-TRACT-15911,exact_directory_match,Reston 4,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,TISBURY WAY,Flintridge
33 BLAKEMORE DR    ,52062869,LH-TRACT-15618;LH-TRACT-15615,LH-TRACT-15618,exact_directory_match,Amberly Lane 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BLAKEMORE DR,Oak Knoll
84 GARRISON LOOP    ,87085039,LH-TRACT-15827,LH-TRACT-15827,exact_directory_match,Chambray,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,GARRISON LOOP,Bridgepark
16 CLEMATIS ST    ,52065164,LH-TRACT-16126;LH-TRACT-16156,LH-TRACT-16126,exact_directory_match,Astoria 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CLEMATIS ST,Avendale
10 CLAYMONT DR    ,52062792,LH-TRACT-15622;LH-TRACT-15615,LH-TRACT-15622,exact_directory_match,Whispering Creek 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,CLAYMONT DR,Oak Knoll
25 ALCOTT ST    ,87030594,LH-TRACT-16347;LH-TRACT-16341,LH-TRACT-16347,exact_directory_match,Walden Park 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,ALCOTT ST,Terramor
