builder,builderProductId,canonicalProductName,cfdPhase,completionUpperBound,confidence,escrowsBy2006,escrowsBy2011,firstSales,housingType,limitations,modelOpening,permitsBy2006,permitsBy2011,productName,sourceIds,statementClass,unitsPlanned,village
Warmington Homes,LH-PRODUCT-AVENDALE-ASTORIA,Astoria,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Astoria,LH-SRC-ACTIVERAIN-2010,reported_secondary,99,Avendale
Shea Homes,LH-PRODUCT-AVENDALE-BERKSHIRE,Berkshire,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Berkshire,LH-SRC-ACTIVERAIN-2010,reported_secondary,156,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-CANOPY-LANE,Canopy Lane,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Canopy Lane,LH-SRC-ACTIVERAIN-2010,reported_secondary,113,Avendale
Warmington,LH-PRODUCT-AVENDALE-CHARLESTON-PLACE,Charleston Place,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Charleston Place,LH-SRC-ACTIVERAIN-2010,reported_secondary,139,Avendale
Standard Pacific,LH-PRODUCT-AVENDALE-FRONT-STREET,Front Street,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Front Street,LH-SRC-ACTIVERAIN-2010,reported_secondary,22,Avendale
D.R. Horton,LH-PRODUCT-AVENDALE-GREENBRIAR,Greenbriar,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Greenbriar,LH-SRC-ACTIVERAIN-2010,reported_secondary,130,Avendale
Barratt American,LH-PRODUCT-AVENDALE-SAVANNAH,Savannah,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Savannah,LH-SRC-ACTIVERAIN-2010,reported_secondary,83,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-ST-MAYS-ROAD,St. Mays Road,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,St. Mays Road,LH-SRC-ACTIVERAIN-2010,reported_secondary,141,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-STERLING-GLEN,Sterling Glen,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Sterling Glen,LH-SRC-ACTIVERAIN-2010,reported_secondary,103,Avendale
John Laing Homes,LH-PRODUCT-AVENDALE-SUMNERS-WAY,Sumners Way,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Sumners Way,LH-SRC-ACTIVERAIN-2010,reported_secondary,58,Avendale
Centex Homes,LH-PRODUCT-AVENDALE-TETHER-MOON,Tether Moon,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Tether Moon,LH-SRC-ACTIVERAIN-2010,reported_secondary,112,Avendale
William Lyon Homes,LH-PRODUCT-AVENDALE-WEATHERHAVEN,Weatherhaven,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Weatherhaven,LH-SRC-ACTIVERAIN-2010,reported_secondary,71,Avendale
Standard Pacific Homes,LH-PRODUCT-AVENDALE-WILLOW-BEND,Willow Bend,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Willow Bend,LH-SRC-ACTIVERAIN-2010,reported_secondary,99,Avendale
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-ALISAL,Alisal,Phase VI,2011-12-31,high,48,48,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,48,48,Alisal,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,48,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-AMARANTE,Amarante,Phase VI,2011-12-31,high,68,71,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,71,71,Amarante I & II,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,71,Covenant Hills
Warmington Homes,LH-PRODUCT-COVENANT-HILLS-ARBOLEDO,Arboledo,Phase VI,2011-12-31,high,25,62,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,60,62,Arboledo,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,62,Covenant Hills
Lyon Homes,LH-PRODUCT-COVENANT-HILLS-BELLATAIRE,Bellataire,Phase VI,2011-12-31,high,70,75,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,75,75,Bellataire I & II,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,75,Covenant Hills
K. Hovnanian,LH-PRODUCT-COVENANT-HILLS-CAPISTRANO,Capistrano,Phase VI,2011-12-31,high,12,35,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,33,35,Capistrano,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,35,Covenant Hills
Centex Homes,LH-PRODUCT-COVENANT-HILLS-CASTELLINA,Castellina,Phase VI,2011-12-31,high,80,82,,Attached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,82,82,Castellina,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,82,Covenant Hills
DMB-Ladera,LH-PRODUCT-COVENANT-HILLS-DMB-LADERA-CUSTOM-LOTS,DMB-Ladera Custom Lots,Phase VI,,high,103,118,,Custom Lots,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,0,,DMB-Ladera Custom Lots,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,232,Covenant Hills
Pardee,LH-PRODUCT-COVENANT-HILLS-ENCANTADA,Encantada,Phase VI,2011-12-31,high,10,37,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,24,37,Encantada,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,37,Covenant Hills
Standard Pacific,LH-PRODUCT-COVENANT-HILLS-LAS-PIEDRAS,Las Piedras,Phase VI,2011-12-31,high,33,35,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,35,35,Las Piedras,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,35,Covenant Hills
Warmington,LH-PRODUCT-COVENANT-HILLS-MERIDEN,Meriden,Phase VI,2011-12-31,high,65,67,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,67,67,Meriden,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,67,Covenant Hills
Centex Homes,LH-PRODUCT-COVENANT-HILLS-MONTANEZ,Montanez,Phase VI,2011-12-31,high,42,59,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,52,59,Montanez,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,59,Covenant Hills
Laing,LH-PRODUCT-COVENANT-HILLS-SAN-DONATO,San Donato,Phase VI,2011-12-31,high,23,23,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,23,23,San Donado,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,23,Covenant Hills
Pardee,LH-PRODUCT-COVENANT-HILLS-SEGOVIA,Segovia,Phase VI,2011-12-31,high,22,65,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,48,65,Segovia,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,65,Covenant Hills
Shea Homes,LH-PRODUCT-COVENANT-HILLS-SHERBORNE,Sherborne,Phase VI,2011-12-31,high,54,54,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,54,54,Sherborne,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,54,Covenant Hills
K. Hovnanian,LH-PRODUCT-COVENANT-HILLS-SKYE-ISLE,Skye Isle,Phase VI,2011-12-31,high,50,61,,Detached,Counts are CFD product-table permit and closed-escrow milestones. A full count bounds the product's reported status but does not date every building completion or individual move-in.,,59,61,Skye Isle,LH-SRC-OC-BOND-2006Q4;LH-SRC-OC-BOND-2011Q4,documented_exact,61,Covenant Hills
Shea Homes,LH-PRODUCT-ECHO-RIDGE-ATHERTON-GLEN,Atherton Glen,,,low,,,,Condos,Secondary directory; builder assignment requires primary confirmation.,,,,Atherton Glen,LH-SRC-ACTIVERAIN-2010,reported_secondary,114,Echo Ridge
Shea Homes,LH-PRODUCT-ECHO-RIDGE-LEXINGTON,Lexington,,,low,,,,Detached Homes,Secondary directory; builder assignment requires primary confirmation.,,,,Lexington,LH-SRC-ACTIVERAIN-2010,reported_secondary,121,Echo Ridge
