claimId,subjectEntityId,claimType,claimText,dateStart,dateEnd,temporalPrecision,claimScope,supportingObservationIds,sourceIds,supportType,statementClass,confidence,conflictStatus,reviewStatus,limitations,notes
LH-CLM-TRACT-15615,LH-TRACT-15615,legal_recording_milestone,County tract map 15615 was recorded 1998-12-11.,1998-12-11,,day,legal_subdivision,LH-OBS-TRACT-15615,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 777/14-31
LH-CLM-TRACT-15616,LH-TRACT-15616,legal_recording_milestone,County tract map 15616 was recorded 1999-06-30.,1999-06-30,,day,legal_subdivision,LH-OBS-TRACT-15616,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 787/39-42
LH-CLM-TRACT-15617,LH-TRACT-15617,legal_recording_milestone,County tract map 15617 was recorded 1999-07-28.,1999-07-28,,day,legal_subdivision,LH-OBS-TRACT-15617,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 787/48-50
LH-CLM-TRACT-15618,LH-TRACT-15618,legal_recording_milestone,County tract map 15618 was recorded 1999-05-28.,1999-05-28,,day,legal_subdivision,LH-OBS-TRACT-15618,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 786/44-47
LH-CLM-TRACT-15619,LH-TRACT-15619,legal_recording_milestone,County tract map 15619 was recorded 2001-03-09.,2001-03-09,,day,legal_subdivision,LH-OBS-TRACT-15619,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 814/3-6
LH-CLM-TRACT-15620,LH-TRACT-15620,legal_recording_milestone,County tract map 15620 was recorded 1999-05-15.,1999-05-15,,day,legal_subdivision,LH-OBS-TRACT-15620,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 785/6-9
LH-CLM-TRACT-15621,LH-TRACT-15621,legal_recording_milestone,County tract map 15621 was recorded 1999-03-30.,1999-03-30,,day,legal_subdivision,LH-OBS-TRACT-15621,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 781/14-16
LH-CLM-TRACT-15622,LH-TRACT-15622,legal_recording_milestone,County tract map 15622 was recorded 1999-05-14.,1999-05-14,,day,legal_subdivision,LH-OBS-TRACT-15622,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 784/47-50
LH-CLM-TRACT-15623,LH-TRACT-15623,legal_recording_milestone,County tract map 15623 was recorded 1999-05-04.,1999-05-04,,day,legal_subdivision,LH-OBS-TRACT-15623,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 784/19-21
LH-CLM-TRACT-15624,LH-TRACT-15624,legal_recording_milestone,County tract map 15624 was recorded 2000-04-06.,2000-04-06,,day,legal_subdivision,LH-OBS-TRACT-15624,LH-SRC-OC-TRACTS,direct_observation,documented_exact,high,no_conflict_identified,legal_map_relationship_review_required,The claim is limited to recording and carries no physical-development lifecycle meaning.,MM 798/38-43
