confidence,currentCenterlineSegmentCount,currentRoadId,currentVillageDirectoryAssociations,limitations,roadName,sourceIds,streetNameNormalized,validAt
high,1,LH-CURRENT-ROAD-0001,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ABELIA ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ABELIA ST,2026-07-27
high,3,LH-CURRENT-ROAD-0002,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ABYSSINIAN WAY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ABYSSINIAN WAY,2026-07-27
high,5,LH-CURRENT-ROAD-0003,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ADELE ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ADELE ST,2026-07-27
high,3,LH-CURRENT-ROAD-0004,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ADIN DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ADIN DR,2026-07-27
high,9,LH-CURRENT-ROAD-0005,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AGAPANTHUS ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AGAPANTHUS ST,2026-07-27
high,1,LH-CURRENT-ROAD-0006,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AGAVE CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AGAVE CT,2026-07-27
high,7,LH-CURRENT-ROAD-0007,Township,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALBANY ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALBANY ST,2026-07-27
high,2,LH-CURRENT-ROAD-0008,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALCOTT ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALCOTT ST,2026-07-27
high,6,LH-CURRENT-ROAD-0009,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALEXA LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALEXA LN,2026-07-27
high,3,LH-CURRENT-ROAD-0010,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALGERWOOD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALGERWOOD,2026-07-27
high,10,LH-CURRENT-ROAD-0011,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALI LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALI LN,2026-07-27
high,4,LH-CURRENT-ROAD-0012,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ALLBROOK CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ALLBROOK CT,2026-07-27
high,1,LH-CURRENT-ROAD-0013,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AMARYLLIS ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AMARYLLIS ST,2026-07-27
high,13,LH-CURRENT-ROAD-0014,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AMY WAY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AMY WAY,2026-07-27
high,11,LH-CURRENT-ROAD-0015,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ANAPAMU ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ANAPAMU ST,2026-07-27
high,8,LH-CURRENT-ROAD-0016,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ANNA LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ANNA LN,2026-07-27
high,6,LH-CURRENT-ROAD-0017,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ARDENNES DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ARDENNES DR,2026-07-27
high,8,LH-CURRENT-ROAD-0018,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ARLINGTON ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ARLINGTON ST,2026-07-27
high,10,LH-CURRENT-ROAD-0019,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ARTISAN ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ARTISAN ST,2026-07-27
high,8,LH-CURRENT-ROAD-0020,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ARYSHIRE LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ARYSHIRE LN,2026-07-27
high,15,LH-CURRENT-ROAD-0021,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,ASH HOLLOW TRAIL,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,ASH HOLLOW TRL,2026-07-27
high,4,LH-CURRENT-ROAD-0022,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AVENDALE BLVD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AVENDALE BLVD,2026-07-27
high,1,LH-CURRENT-ROAD-0023,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,AZARA LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,AZARA LN,2026-07-27
high,12,LH-CURRENT-ROAD-0024,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BAINBRIDGE AVE,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BAINBRIDGE AVE,2026-07-27
high,2,LH-CURRENT-ROAD-0025,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BANCROFT ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BANCROFT ST,2026-07-27
high,7,LH-CURRENT-ROAD-0026,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BARNSTABLE WAY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BARNSTABLE WAY,2026-07-27
high,3,LH-CURRENT-ROAD-0027,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BARRETTS WAY,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BARRETTS WAY,2026-07-27
high,7,LH-CURRENT-ROAD-0028,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BASILICA PL,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BASILICA PL,2026-07-27
high,5,LH-CURRENT-ROAD-0029,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BAUDIN CIR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BAUDIN CIR,2026-07-27
high,5,LH-CURRENT-ROAD-0030,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BECKER DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BECKER DR,2026-07-27
high,35,LH-CURRENT-ROAD-0031,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BEDSTRAW LOOP,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BEDSTRAW LOOP,2026-07-27
high,2,LH-CURRENT-ROAD-0032,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BEECHTREE ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BEECHTREE ST,2026-07-27
high,38,LH-CURRENT-ROAD-0033,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BELL PASTURE RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BELL PASTURE RD,2026-07-27
high,2,LH-CURRENT-ROAD-0034,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BELLFLOWER ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BELLFLOWER ST,2026-07-27
high,1,LH-CURRENT-ROAD-0035,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BENARVILLE LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BENARVILLE LN,2026-07-27
high,3,LH-CURRENT-ROAD-0036,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BENNINGTON PATH,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BENNINGTON PATH,2026-07-27
high,1,LH-CURRENT-ROAD-0037,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BETHENCOURT LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BETHENCOURT LN,2026-07-27
high,2,LH-CURRENT-ROAD-0038,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BLACK CHERRY ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BLACK CHERRY ST,2026-07-27
high,11,LH-CURRENT-ROAD-0039,Oak Knoll,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BLAKEMORE DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BLAKEMORE DR,2026-07-27
high,13,LH-CURRENT-ROAD-0040,Township,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BLOOMINGTON ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BLOOMINGTON ST,2026-07-27
high,7,LH-CURRENT-ROAD-0041,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BLUE SPRUCE DR,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BLUE SPRUCE DR,2026-07-27
high,2,LH-CURRENT-ROAD-0042,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BLUEWING LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BLUEWING LN,2026-07-27
high,16,LH-CURRENT-ROAD-0043,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BOWER LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BOWER LN,2026-07-27
high,2,LH-CURRENT-ROAD-0044,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BRAYTON CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BRAYTON CT,2026-07-27
high,2,LH-CURRENT-ROAD-0045,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BREMENDER LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BREMENDER LN,2026-07-27
high,2,LH-CURRENT-ROAD-0046,Terramor,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BRISTERS HILL LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BRISTERS HILL LN,2026-07-27
high,13,LH-CURRENT-ROAD-0047,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BRITTLESTAR RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BRITTLESTAR RD,2026-07-27
high,11,LH-CURRENT-ROAD-0048,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BROKEN ARROW ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BROKEN ARROW ST,2026-07-27
high,1,LH-CURRENT-ROAD-0049,Avendale,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BROOKWOOD ST,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BROOKWOOD ST,2026-07-27
high,3,LH-CURRENT-ROAD-0050,Echo Ridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BRYANT CT,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BRYANT CT,2026-07-27
high,7,LH-CURRENT-ROAD-0051,Flintridge,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BRYNWOOD LN,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BRYNWOOD LN,2026-07-27
high,7,LH-CURRENT-ROAD-0052,Covenant Hills,Current geometry and 2019 naming only; no historical opening or County-acceptance date is inferred.,BUCKAROO RD,LH-SRC-OC-STREET-CENTERLINES;LH-SRC-LARMAC-STREETS-2019,BUCKAROO RD,2026-07-27
