observationId,observedEntityId,observationType,observedValue,dateStart,dateEnd,temporalPrecision,geometryId,geometryType,geometryStatus,method,sourceIds,sourceLocator,statementClass,confidence,limitations,notes
LH-OBS-TRACT-15615,LH-TRACT-15615,legal_tract_map_recording,Tract 15615 recorded as MM 777/14-31,1998-12-11,,day,LH-TRACT-15615,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 5728; MM 777/14-31,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_parent_map
LH-OBS-TRACT-15616,LH-TRACT-15616,legal_tract_map_recording,Tract 15616 recorded as MM 787/39-42,1999-06-30,,day,LH-TRACT-15616,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 7537; MM 787/39-42,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15617,LH-TRACT-15617,legal_tract_map_recording,Tract 15617 recorded as MM 787/48-50,1999-07-28,,day,LH-TRACT-15617,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 3357; MM 787/48-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15618,LH-TRACT-15618,legal_tract_map_recording,Tract 15618 recorded as MM 786/44-47,1999-05-28,,day,LH-TRACT-15618,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 6352; MM 786/44-47,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15619,LH-TRACT-15619,legal_tract_map_recording,Tract 15619 recorded as MM 814/3-6,2001-03-09,,day,LH-TRACT-15619,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 1891; MM 814/3-6,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",partial_overlap_review_required
LH-OBS-TRACT-15620,LH-TRACT-15620,legal_tract_map_recording,Tract 15620 recorded as MM 785/6-9,1999-05-15,,day,LH-TRACT-15620,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 7539; MM 785/6-9,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15621,LH-TRACT-15621,legal_tract_map_recording,Tract 15621 recorded as MM 781/14-16,1999-03-30,,day,LH-TRACT-15621,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 10617; MM 781/14-16,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15622,LH-TRACT-15622,legal_tract_map_recording,Tract 15622 recorded as MM 784/47-50,1999-05-14,,day,LH-TRACT-15622,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 325; MM 784/47-50,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
LH-OBS-TRACT-15623,LH-TRACT-15623,legal_tract_map_recording,Tract 15623 recorded as MM 784/19-21,1999-05-04,,day,LH-TRACT-15623,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 9455; MM 784/19-21,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",documented_or_interpreted_nested_subdivision_map
LH-OBS-TRACT-15624,LH-TRACT-15624,legal_tract_map_recording,Tract 15624 recorded as MM 798/38-43,2000-04-06,,day,LH-TRACT-15624,Polygon,original_valid,direct County attribute transcription and source-geometry audit,LH-SRC-OC-TRACTS,County object ID 11834; MM 798/38-43,documented_exact,high,"Recording is a legal subdivision milestone only; it does not date construction, habitability, sale, or occupancy.",possible_nested_subdivision_map
