year,availableImageryIds,coverageStatus,coveragePctCurrentCdp,interpretationEligibility,constructionPolygonStatus,sourceIds,publicSearchStatus,limitations
1997,LH-IMG-1997-1998,partial_ambiguous_date,51.69,coverage_context_only,not_supported,LH-SRC-OC-IMAGERY,County_catalog_exhausted_for_intersecting_development_era_frames,The County service's 1997 Date_On_Map and 1998 DateCurrent fields do not support two separate annual states.
1998,LH-IMG-1997-1998,partial_ambiguous_date,51.69,coverage_context_only,not_supported,LH-SRC-OC-IMAGERY,County_catalog_exhausted_for_intersecting_development_era_frames,The County service's 1997 Date_On_Map and 1998 DateCurrent fields do not support two separate annual states.
1999,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2000,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2001,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2002,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2003,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2004,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2005,LH-IMG-NAIP-2005,full,100.00,visual_state_and_change_interpretation,visible_disturbance_regions_not_proximity_eligible,LH-SRC-CDFW-NAIP-2005,official_CDFW_NAIP_service_retrieved,No precise active-construction polygon is asserted; broad visible disturbance cannot distinguish all active work from prepared or vacant pads.
2006,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2007,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2008,,not_located,0.00,unavailable,not_supported,,County_catalog_no_intersecting_frame;USGS_EarthExplorer_account_required,"No public, locally archived image supports an annual state; zero coverage is not evidence of no construction."
2009,LH-IMG-NAIP-2009,full,100.00,visual_state_and_change_interpretation,visible_disturbance_regions_not_proximity_eligible,LH-SRC-CDFW-NAIP-2009,official_CDFW_NAIP_service_retrieved,No precise active-construction polygon is asserted; broad visible disturbance cannot distinguish all active work from prepared or vacant pads.
2010,LH-IMG-NAIP-2010,full,100.00,visual_state_and_change_interpretation,visible_disturbance_regions_not_proximity_eligible,LH-SRC-CDFW-NAIP-2010,official_CDFW_NAIP_service_retrieved,No precise active-construction polygon is asserted; broad visible disturbance cannot distinguish all active work from prepared or vacant pads.
