edgeId,fromId,fromType,relationship,toId,toType,validFrom,validTo,evidenceIds,sourceIds,confidence,version,reviewStatus,limitations,notes
LH-EDGE-001,LH-FEAT-COMMUNITY,Community,governed_by,LH-SRC-OC-PC,Source,,,LH-SRC-OC-PC,LH-SRC-OC-PC,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Program text
LH-EDGE-002,LH-FEAT-COMMUNITY,Community,mapped_by,LH-SRC-OC-MAP,Source,,,LH-SRC-OC-MAP,LH-SRC-OC-MAP,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Planned community map
LH-EDGE-003,LH-FEAT-COMMUNITY,Community,subdivided_by,LH-SRC-OC-TRACTS,Source,,,LH-SRC-OC-TRACTS,LH-SRC-OC-TRACTS,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Recorded tract-map layer
LH-EDGE-004,LH-FEAT-UTILITIES,UtilityProgram,supported_by,LH-SRC-CEQANET-UTILITIES,Source,,,LH-SRC-CEQANET-UTILITIES,LH-SRC-CEQANET-UTILITIES,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Phase 1 utility environmental record
LH-EDGE-005,LH-SCHOOL-CHAPARRAL,School,opening_supported_by,LH-SRC-CUSD-CHAPARRAL,Source,,,LH-SRC-CUSD-CHAPARRAL,LH-SRC-CUSD-CHAPARRAL,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Official school report
LH-EDGE-006,LH-SCHOOL-LRES,School,opening_supported_by,LH-SRC-CUSD-LRES,Source,,,LH-SRC-CUSD-LRES,LH-SRC-CUSD-LRES,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Official school report
LH-EDGE-007,LH-SCHOOL-LRMS,School,opening_supported_by,LH-SRC-CUSD-LRMS,Source,,,LH-SRC-CUSD-LRMS,LH-SRC-CUSD-LRMS,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Official school report
LH-EDGE-008,LH-SCHOOL-OSO-GRANDE,School,opening_supported_by,LH-SRC-CDE-OSO,Source,,,LH-SRC-CDE-OSO,LH-SRC-CDE-OSO,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Official state registry
LH-EDGE-009,LH-FEAT-OCCUPANCY,Occupancy,first_documented_by,LH-SRC-LARMAC-TIMELINE,Source,,,LH-SRC-LARMAC-TIMELINE,LH-SRC-LARMAC-TIMELINE,medium,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Organization retrospective
LH-EDGE-010,LH-FEAT-SALES,Sales,summarized_by,LH-SRC-LARMAC-TIMELINE,Source,,,LH-SRC-LARMAC-TIMELINE,LH-SRC-LARMAC-TIMELINE,medium,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Organization retrospective
LH-EDGE-011,LH-IMG-1997-1998,HistoricalImagery,served_by,LH-SRC-OC-IMAGERY,Source,,,LH-SRC-OC-IMAGERY,LH-SRC-OC-IMAGERY,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,County rectified imagery
LH-EDGE-012,LH-VILLAGE-OAK-KNOLL,Village,contains,LH-FEAT-OAK-KNOLL-CLUBHOUSE,Clubhouse,,,LH-SRC-LARMAC-TIMELINE,LH-SRC-LARMAC-TIMELINE,medium,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Facility milestone only
LH-EDGE-013,LH-VILLAGE-AVENDALE,Village,contains,LH-FEAT-AVENDALE-CLUBHOUSE,Clubhouse,,,LH-SRC-LARMAC-TIMELINE,LH-SRC-LARMAC-TIMELINE,medium,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Facility milestone only
LH-EDGE-014,LH-VILLAGE-COVENANT-HILLS,Village,contains,LH-FEAT-VILLAGE-CLUBHOUSES,Clubhouse,,,LH-SRC-LARMAC-TIMELINE,LH-SRC-LARMAC-TIMELINE,medium,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Shared event record
LH-EDGE-015,LH-PA-TOTAL,PlanningBaseline,supported_by,LH-SRC-OC-PC,Source,,,LH-SRC-OC-PC,LH-SRC-OC-PC,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Visually verified PDF pages 129 and 134
LH-EDGE-016,LH-FEAT-ROADS,RoadProgram,governed_by,LH-SRC-OC-PC,Source,,,LH-SRC-OC-PC,LH-SRC-OC-PC,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Permit-threshold circulation obligations on PDF pages 17-19
LH-EDGE-017,LH-EVT-001,EnvironmentalReviewCertification,supported_by,LH-SRC-OC-EIR-CERT,Source,,,LH-SRC-OC-EIR-CERT,LH-SRC-OC-EIR-CERT,high,1.0,preserved_first_edition_edge,First-edition relationship retained and normalized to the Mission 4 edge schema.,Official staff record states Board certification date
