intervalId,entityId,stateDimension,stateValue,validFrom,validTo,startBoundType,endBoundType,temporalPrecision,geometryId,geometryStatus,sourceIds,supportingClaimIds,statementClass,confidence,proximityEligible,limitations,notes
LH-LIFE-COMMUNITY-1997,LH-COMMUNITY-LADERA-RANCH,community_development_summary,approval_recalled_by_developer,1997-01-01,1997-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-RMV-PLANNING;LH-SRC-OC-EIR-CERT,,documented_approximate,low,false,Official County record dates Final EIR 555 certification to 1995-10-17; the exact broader 1997 action remains unidentified; current CDP boundary is not the entitlement boundary,Developer retrospective places County approval in 1997
LH-LIFE-COMMUNITY-1998,LH-COMMUNITY-LADERA-RANCH,community_development_summary,development_started,1998-01-01,1998-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-ULI-CASE;LH-SRC-OC-ADS,,documented_approximate,medium,false,No dated grading or construction polygons yet; tract counts are generated,Development begins and original standards approved
LH-LIFE-COMMUNITY-1999,LH-COMMUNITY-LADERA-RANCH,community_development_summary,first_sales_and_occupancy,1999-01-01,1999-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-CEQANET-UTILITIES;LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,Sales and occupancy are community-level; no village polygons,Utility package and dirt-tour sales and first resident
LH-LIFE-COMMUNITY-2000,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2000-01-01,2000-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,No permit-level construction status,Oak Knoll Clubhouse opens
LH-LIFE-COMMUNITY-2001,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2001-01-01,2001-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE;LH-SRC-CUSD-CHAPARRAL,,documented_approximate,medium,false,School count treats September opening as active by year end,Sports Park Chaparral School Bridgepark Plaza and Town Green open
LH-LIFE-COMMUNITY-2002,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2002-01-01,2002-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,Neighborhood open is a marketing status not a buildout measure,Avendale Clubhouse opens and 54 neighborhoods reported open
LH-LIFE-COMMUNITY-2003,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2003-01-01,2003-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE;LH-SRC-CUSD-LRES;LH-SRC-CUSD-LRMS,,documented_approximate,high,false,Community timeline and school report differ by one month; official date controls school activation,Founders Park library and shared Ladera Ranch School open
LH-LIFE-COMMUNITY-2004,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2004-01-01,2004-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-CUSD-LRMS;LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,No tract-to-village crosswalk yet,School split and Flintridge and Covenant Hills clubhouses open
LH-LIFE-COMMUNITY-2005,LH-COMMUNITY-LADERA-RANCH,community_development_summary,active_construction_and_occupancy,2005-01-01,2005-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-CDE-OSO;LH-SRC-LARMAC-TIMELINE,,documented_approximate,high,false,No construction start dates for facilities,Oso Grande School and three park facilities open
LH-LIFE-COMMUNITY-2006,LH-COMMUNITY-LADERA-RANCH,community_development_summary,substantially_complete,2006-01-01,2006-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-ULI-CASE;LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,Substantial completion does not mean every custom lot was complete,Substantial completion reported
LH-LIFE-COMMUNITY-2007,LH-COMMUNITY-LADERA-RANCH,community_development_summary,sold_out_except_custom,2007-01-01,2007-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,Physical buildout remains unresolved,Community sells out except custom lots
LH-LIFE-COMMUNITY-2008,LH-COMMUNITY-LADERA-RANCH,community_development_summary,late_custom_lot_phase,2008-01-01,2008-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_community_summary,LH-SRC-LARMAC-TIMELINE,,documented_approximate,medium,false,Final buildout date remains unresolved,Additional home sales reported
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-1999,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,97,1999-01-01,1999-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-1999,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2000,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,557,2000-01-01,2000-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2000,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2001,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,276,2001-01-01,2001-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2001,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2002,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,30,2002-01-01,2002-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2002,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2003,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,0,2003-01-01,2003-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2003,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2004,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,14,2004-01-01,2004-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2004,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2005,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,98,2005-01-01,2005-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2005,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-99-1-PHASE-I-2006,LH-CFD-99-1-PHASE-I,built_and_occupied_absorption,57,2006-01-01,2006-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-99-1-PHASE-I-2006,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
LH-LIFE-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2003,LH-CFD-2002-1-URBAN-ACTIVITY-CENTER,built_and_occupied_absorption,158,2003-01-01,2003-12-31,calendar_year_start,calendar_year_end,year,,nonspatial_cfd_aggregate,LH-SRC-OC-BOND-2006Q4,LH-CLM-LH-ABS-CFD-2002-1-URBAN-ACTIVITY-CENTER-2003,documented_exact,high,false,"Annual CFD aggregate is nonspatial and cannot be assigned to a tract, address, or household.",Absorption = Built and Occupied
