schoolBoundaryHistoryId,year,geographyId,openLocalSchoolIds,documentedAssignedSchoolIds,assignmentStatus,geometryStatus,geometryId,nearestSchoolInterpretation,sourceIds,confidence,limitations,reviewStatus
LH-SCHOOL-BOUNDARY-1997,1997,LH-COMMUNITY-LADERA-RANCH,,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-1998,1998,LH-COMMUNITY-LADERA-RANCH,,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-1999,1999,LH-COMMUNITY-LADERA-RANCH,,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2000,2000,LH-COMMUNITY-LADERA-RANCH,,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2001,2001,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2002,2002,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2003,2003,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2004,2004,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2005,2005,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2006,2006,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2007,2007,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2008,2008,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2009,2009,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
LH-SCHOOL-BOUNDARY-2010,2010,LH-COMMUNITY-LADERA-RANCH,LH-SCHOOL-CHAPARRAL;LH-SCHOOL-LRES;LH-SCHOOL-LRMS;LH-SCHOOL-OSO-GRANDE,,historical_attendance_boundary_not_retrieved,unavailable,,not_an_attendance_assignment,,unknown,"School opening status is known separately; no historical attendance-boundary source was retrieved, so assignment is not inferred from proximity.",blocked_pending_district_records
