addressConstraint,association,confidence,limitations,neighborhood,sourceIds,sourceLocator,statementClass,streetLabel,streetNameNormalized,streetNeighborhoodId,village
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ABELIA STREET,ABELIA ST,LH-STREET-XWALK-0001,Avendale
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 3,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ABYSSINIAN WAY,ABYSSINIAN WAY,LH-STREET-XWALK-0002,Echo Ridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ACASTER WAY,ACASTER WAY,LH-STREET-XWALK-0003,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Segovia,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ADELE STREET,ADELE ST,LH-STREET-XWALK-0004,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ADIN DRIVE,ADIN DR,LH-STREET-XWALK-0005,Avendale
"1-11, 21-25 odd, 32,34,36",SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,St. Mays Road,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,"AGAPANTHUS STREET (1-11, 21-25 odd, 32,34,36)",AGAPANTHUS ST,LH-STREET-XWALK-0006,Avendale
31-41 odd,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AGAPANTHUS STREET (31-41 odd),AGAPANTHUS ST,LH-STREET-XWALK-0007,Avendale
"8, 28",,high,Directory reflects 2019 naming and does not establish the historical opening date.,Canopy Lane 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,"AGAPANTHUS STREET (8, 28)",AGAPANTHUS ST,LH-STREET-XWALK-0008,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AGAVE COURT,AGAVE CT,LH-STREET-XWALK-0009,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALBANY STREET,ALBANY ST,LH-STREET-XWALK-0010,Township
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALCOTT STREET,ALCOTT ST,LH-STREET-XWALK-0011,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALEXA LANE,ALEXA LN,LH-STREET-XWALK-0012,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALGERWOOD,ALGERWOOD,LH-STREET-XWALK-0013,Oak Knoll
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arboledo,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALI LANE,ALI LN,LH-STREET-XWALK-0014,Covenant Hills
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Whispering Creek 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ALLBROOK COURT,ALLBROOK CT,LH-STREET-XWALK-0015,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Astoria 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AMARYLLIS ST,AMARYLLIS ST,LH-STREET-XWALK-0016,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sycamore Grove,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AMESBURY COURT,AMESBURY CT,LH-STREET-XWALK-0017,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Savannah,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AMY WAY,AMY WAY,LH-STREET-XWALK-0018,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arboledo,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ANAPAMU STREET,ANAPAMU ST,LH-STREET-XWALK-0019,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Skye Isle 1 & 3,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ANDROMEDA ISLE,ANDROMEDA ISLE,LH-STREET-XWALK-0020,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arboledo,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ANNA LANE,ANNA LN,LH-STREET-XWALK-0021,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ARABIS COURT,ARABIS CT,LH-STREET-XWALK-0022,Avendale
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ARDENNES DRIVE,ARDENNES DR,LH-STREET-XWALK-0023,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 2,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ARLINGTON STREET,ARLINGTON ST,LH-STREET-XWALK-0024,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Wyeth 1,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ARTISAN STREET,ARTISAN ST,LH-STREET-XWALK-0025,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Atherton Glen,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ARYSHIRE LANE,ARYSHIRE LN,LH-STREET-XWALK-0026,Echo Ridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Trails,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ASH HOLLOW TRAIL,ASH HOLLOW TRL,LH-STREET-XWALK-0027,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,ATTLEBORO STREET,ATTLEBORO ST,LH-STREET-XWALK-0028,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,St. Mays Road,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AVENDALE BOULEVARD,AVENDALE BLVD,LH-STREET-XWALK-0029,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,AZARA LANE,AZARA LN,LH-STREET-XWALK-0030,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sansovino,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BACCUS,BACCUS,LH-STREET-XWALK-0031,Bridgepark
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sylvan Oaks,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BAINBRIDGE AVENUE,BAINBRIDGE AVE,LH-STREET-XWALK-0032,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 1,documented_exact,BALLARD,BALLARD,LH-STREET-XWALK-0033,Township
