tractId,tractNumber,sourceObjectId,bookPage,recordDate,recordYear,sourceCrs,analysisCrs,geometryType,originalGeometryValid,validityReason,measurementGeometryStatus,areaSqM,areaAcres,outsideCurrentCdpSqM,outsideCurrentCdpPct,overlapCount,containsCount,containedByCount,highOverlapCount,containsTractIds,containedByTractIds,highOverlapTractIds,allOverlapTractIds,suspectedMapRole,relationshipReviewStatus,recordingObservation,constructionConclusion,habitabilityConclusion,occupancyConclusion,sourceIds,statementClass,confidence,limitations,documentedParentTractIds,titleSheetParties,titleSheetReviewStatus
LH-TRACT-15615,15615,5728,MM 777/14-31,1998-12-11,1998,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,1163223.5,287.439,83422.0,7.1716,16,16,0,0,LH-TRACT-15616;LH-TRACT-15617;LH-TRACT-15618;LH-TRACT-15620;LH-TRACT-15621;LH-TRACT-15622;LH-TRACT-15623;LH-TRACT-15624;LH-TRACT-15625;LH-TRACT-15626;LH-TRACT-15627;LH-TRACT-15628;LH-TRACT-15629;LH-TRACT-15630;LH-TRACT-15631;LH-TRACT-15632,,,LH-TRACT-15616;LH-TRACT-15617;LH-TRACT-15618;LH-TRACT-15620;LH-TRACT-15621;LH-TRACT-15622;LH-TRACT-15623;LH-TRACT-15624;LH-TRACT-15625;LH-TRACT-15626;LH-TRACT-15627;LH-TRACT-15628;LH-TRACT-15629;LH-TRACT-15630;LH-TRACT-15631;LH-TRACT-15632,possible_parent_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"DMB Ladera, L.L.C.",ocr_structured_visual_spot_check_required
LH-TRACT-15616,15616,7537,MM 787/39-42,1999-06-30,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,24726.3,6.110,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,possible_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"Rancho Mission Viejo, L.L.C.",ocr_structured_visual_spot_check_required
LH-TRACT-15617,15617,3357,MM 787/48-50,1999-07-28,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,23735.6,5.865,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,documented_or_interpreted_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",LH-TRACT-15615,,ocr_structured_visual_spot_check_required
LH-TRACT-15618,15618,6352,MM 786/44-47,1999-05-28,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,34735.1,8.583,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,possible_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.",ocr_structured_visual_spot_check_required
LH-TRACT-15619,15619,1891,MM 814/3-6,2001-03-09,2001,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,82424.7,20.368,1369.4,1.6614,1,0,0,0,,,,LH-TRACT-16063,partial_overlap_review_required,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.",ocr_structured_visual_spot_check_required
LH-TRACT-15620,15620,7539,MM 785/6-9,1999-05-15,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,30952.3,7.648,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,documented_or_interpreted_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",LH-TRACT-15615,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Warmington Homes",ocr_structured_visual_spot_check_required
LH-TRACT-15621,15621,10617,MM 781/14-16,1999-03-30,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,20352.9,5.029,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,possible_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,Standard Pacific Corp.,ocr_structured_visual_spot_check_required
LH-TRACT-15622,15622,325,MM 784/47-50,1999-05-14,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,38546.2,9.525,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,possible_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Shea Homes",ocr_structured_visual_spot_check_required
LH-TRACT-15623,15623,9455,MM 784/19-21,1999-05-04,1999,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,35870.6,8.864,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,documented_or_interpreted_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",LH-TRACT-15615,"Rancho Mission Viejo, L.L.C.;Warmington Homes",ocr_structured_visual_spot_check_required
LH-TRACT-15624,15624,11834,MM 798/38-43,2000-04-06,2000,EPSG:4326,EPSG:26946,Polygon,true,Valid Geometry,original_valid,49965.4,12.347,0.0,0.0000,1,0,1,0,,LH-TRACT-15615,,LH-TRACT-15615,possible_nested_subdivision_map,legal_map_relationship_review_required,legal_tract_map_recorded,not_established,not_established,not_established,LH-SRC-OC-TRACTS;LH-SRC-CENSUS-CDP,documented_exact,high,"Current CDP is a query extent, not the historical planned-community boundary. Map recording and geometric relationships do not establish physical lifecycle dates.",,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Brookfield Wyeth, Inc.",ocr_structured_visual_spot_check_required
