relationshipId,fromTractId,toTractId,fromTractNumber,toTractNumber,relationshipType,intersectionAreaSqM,overlapPctOfFrom,overlapPctOfTo,chronology,geometryTest,analysisCrs,sourceIds,statementClass,confidence,reviewStatus,lifecycleConclusion,limitations
LH-XWALK-0001,LH-TRACT-16341,LH-TRACT-16342,16341,16342,documented_parent_child_map,39530.3,5.7892,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,visual_interpretation,medium,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0002,LH-TRACT-16341,LH-TRACT-16346,16341,16346,documented_parent_child_map,35722.9,5.2316,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0003,LH-TRACT-16341,LH-TRACT-16350,16341,16350,documented_parent_child_map,36717.0,5.3772,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,visual_interpretation,medium,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0004,LH-TRACT-16341,LH-TRACT-16348,16341,16348,contains_or_matches_extent,32017.6,4.6890,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0005,LH-TRACT-16341,LH-TRACT-16349,16341,16349,contains_or_matches_extent,34124.9,4.9976,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0006,LH-TRACT-16341,LH-TRACT-16203,16341,16203,partial_overlap,5.0,0.0007,0.0009,from_recorded_after_to,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0007,LH-TRACT-16341,LH-TRACT-16347,16341,16347,documented_parent_child_map,37711.1,5.5228,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0008,LH-TRACT-16025,LH-TRACT-16115,16025,16115,contains_or_matches_extent,37021.1,14.3789,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0009,LH-TRACT-16025,LH-TRACT-16117,16025,16117,contains_or_matches_extent,17213.0,6.6855,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0010,LH-TRACT-16025,LH-TRACT-16114,16025,16114,documented_parent_child_map,23884.0,9.2765,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0011,LH-TRACT-16025,LH-TRACT-16235,16025,16235,partial_overlap,1.4,0.0005,0.0005,from_recorded_before_to,intersection exceeds 1 square metre,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,low,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0012,LH-TRACT-16025,LH-TRACT-16116,16025,16116,documented_parent_child_map,49227.3,19.1197,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,visual_interpretation,medium,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0013,LH-TRACT-15813,LH-TRACT-15903,15813,15903,contains_or_matches_extent,25344.9,4.0356,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0014,LH-TRACT-15615,LH-TRACT-15622,15615,15622,contains_or_matches_extent,38546.2,3.3137,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0015,LH-TRACT-15987,LH-TRACT-16385,15987,16385,documented_parent_child_map,22564.4,3.9216,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0016,LH-TRACT-16234,LH-TRACT-16242,16234,16242,contains_or_matches_extent,22459.9,5.0597,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry,EPSG:26946,LH-SRC-OC-TRACTS,visual_interpretation,medium,legal_map_relationship_review_required,not_established,"Geometric overlap and recording order do not prove amendment, supersession, grading, construction, sale, or occupancy. Review recorded map title sheets."
LH-XWALK-0017,LH-TRACT-15615,LH-TRACT-15626,15615,15626,documented_parent_child_map,40941.4,3.5197,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
LH-XWALK-0018,LH-TRACT-15987,LH-TRACT-16414,15987,16414,documented_parent_child_map,21784.2,3.7860,100.0000,from_recorded_before_to,intersection covers at least 99.9 percent of smaller measured geometry; parent/child wording recovered from recorded-map title sheet,EPSG:26946,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,documented_exact,high,documented_title_sheet_relationship,not_established,"Title-sheet wording documents legal map lineage. It does not establish grading, construction, sale, habitability, or occupancy."
