tractId,tractNumber,bookPage,recordDate,sourceId,url,localFilePath,retrievalDate,bytes,checksumSha256,archiveStatus,error
LH-TRACT-15615,15615,MM 777/14-31,1998-12-11,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+777%2F14-31&doctype=TR,evidence/lhdrs/tract_maps/TR_15615_MM_777_14-31.pdf,2026-07-26,1727930,56bba66b36e617941f7d3152b399770d3b50256186060813daea2ca93d203a03,retrieved,
LH-TRACT-15616,15616,MM 787/39-42,1999-06-30,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+787%2F39-42&doctype=TR,evidence/lhdrs/tract_maps/TR_15616_MM_787_39-42.pdf,2026-07-26,381660,ad9e6ecb1dccaad0520029551ad7dbbe73d074d3191c48d1666368088d1839ba,retrieved,
LH-TRACT-15617,15617,MM 787/48-50,1999-07-28,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+787%2F48-50&doctype=TR,evidence/lhdrs/tract_maps/TR_15617_MM_787_48-50.pdf,2026-07-26,562123,32135962722e8459bff90bed4ecdee7ab81934177a6f8fd47be0f021fe341ff8,retrieved,
LH-TRACT-15618,15618,MM 786/44-47,1999-05-28,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+786%2F44-47&doctype=TR,evidence/lhdrs/tract_maps/TR_15618_MM_786_44-47.pdf,2026-07-26,288508,3c418aaf5407fd2f9836ea3ff56a9477cb82554f1ee836d4a966691ff4554280,retrieved,
LH-TRACT-15619,15619,MM 814/3-6,2001-03-09,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+814%2F3-6&doctype=TR,evidence/lhdrs/tract_maps/TR_15619_MM_814_3-6.pdf,2026-07-26,322462,41c309ddc78975f25b035bb4a9e45a0c2c4fe3f4ef475e3237380e78ccbb9637,retrieved,
LH-TRACT-15620,15620,MM 785/6-9,1999-05-15,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+785%2F6-9&doctype=TR,evidence/lhdrs/tract_maps/TR_15620_MM_785_6-9.pdf,2026-07-26,305609,a2125ff1b332a01f5360dd9d5cba3bb454cd8b40a30261213e45505106ec6714,retrieved,
LH-TRACT-15621,15621,MM 781/14-16,1999-03-30,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+781%2F14-16&doctype=TR,evidence/lhdrs/tract_maps/TR_15621_MM_781_14-16.pdf,2026-07-26,236433,4725fb0d678946b7d8e14174382cd23f2cf01cb731750bd3463f144c3bfce9ef,retrieved,
LH-TRACT-15622,15622,MM 784/47-50,1999-05-14,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+784%2F47-50&doctype=TR,evidence/lhdrs/tract_maps/TR_15622_MM_784_47-50.pdf,2026-07-26,337730,6f19c32d01f78c4eb19d415d22c97809f53cc89c3b4bb503ba117fbbdf611d07,retrieved,
LH-TRACT-15623,15623,MM 784/19-21,1999-05-04,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+784%2F19-21&doctype=TR,evidence/lhdrs/tract_maps/TR_15623_MM_784_19-21.pdf,2026-07-26,272423,5c015a70ce88ac9575aaaf7b52b8309cf04ab3a03869d50d7c8ee99ccf901acc,retrieved,
LH-TRACT-15624,15624,MM 798/38-43,2000-04-06,LH-SRC-OC-LMS-TRACT-PDFS,https://webapps.ocgis.com/box/api/OCPW_Survey/download?file=MM+798%2F38-43&doctype=TR,evidence/lhdrs/tract_maps/TR_15624_MM_798_38-43.pdf,2026-07-26,430795,d013c1e1366841e2ed4cb8c7ddc8e02a960efc1c35ae9ef154c0c58415ab4335,retrieved,
