tractMilestoneEvidenceId,tractId,milestoneType,earliestDate,latestDate,datePrecision,evidenceId,sourceIds,directOrInferred,confidence,confidenceRationale,physicalLifecycleMeaning,limitations,reviewStatus
LH-TRACT-EVIDENCE-15615-RECORDING,LH-TRACT-15615,legal_tract_map_recording,1998-12-11,1998-12-11,day,LH-OBS-TRACT-15615,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15616-RECORDING,LH-TRACT-15616,legal_tract_map_recording,1999-06-30,1999-06-30,day,LH-OBS-TRACT-15616,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15617-RECORDING,LH-TRACT-15617,legal_tract_map_recording,1999-07-28,1999-07-28,day,LH-OBS-TRACT-15617,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15618-RECORDING,LH-TRACT-15618,legal_tract_map_recording,1999-05-28,1999-05-28,day,LH-OBS-TRACT-15618,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15619-RECORDING,LH-TRACT-15619,legal_tract_map_recording,2001-03-09,2001-03-09,day,LH-OBS-TRACT-15619,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15620-RECORDING,LH-TRACT-15620,legal_tract_map_recording,1999-05-15,1999-05-15,day,LH-OBS-TRACT-15620,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15621-RECORDING,LH-TRACT-15621,legal_tract_map_recording,1999-03-30,1999-03-30,day,LH-OBS-TRACT-15621,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15622-RECORDING,LH-TRACT-15622,legal_tract_map_recording,1999-05-14,1999-05-14,day,LH-OBS-TRACT-15622,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15623-RECORDING,LH-TRACT-15623,legal_tract_map_recording,1999-05-04,1999-05-04,day,LH-OBS-TRACT-15623,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
LH-TRACT-EVIDENCE-15624-RECORDING,LH-TRACT-15624,legal_tract_map_recording,2000-04-06,2000-04-06,day,LH-OBS-TRACT-15624,LH-SRC-OC-TRACTS;LH-SRC-OC-LMS-TRACT-PDFS,direct,high,County GIS attribute and recorded map collection establish the legal recording milestone.,none_established,"Recording is not evidence of grading, construction, sale, habitability, or occupancy.",ocr_structured_visual_spot_check_required
