confidence,crosswalkId,limitations,matchedAddressPointCount,neighborhood,neighborhoodMatchedPointSharePct,relationshipType,reviewStatus,sourceIds,statementClass,tractId,tractNumber,validAt,village
high,LH-TRACT-NEIGHBORHOOD-0001,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",73,Aldenhouse,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-15887,15887,2026-07-27,Township
high,LH-TRACT-NEIGHBORHOOD-0002,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",20,Alisal,41.67,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16384,16384,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0003,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",7,Alisal,14.58,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16385,16385,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0004,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",21,Alisal,43.75,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16386,16386,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0005,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",13,Amarante 1,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16393,16393,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0006,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",40,Amarante 2,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16392,16392,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0007,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",42,Amarante 2 / Bellataire 2,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-15990,15990,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0008,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",57,Amberly Lane 1,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-15626,15626,2026-07-27,Oak Knoll
high,LH-TRACT-NEIGHBORHOOD-0009,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",22,Amberly Lane 2,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-15618,15618,2026-07-27,Oak Knoll
high,LH-TRACT-NEIGHBORHOOD-0010,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",47,Arboledo,74.60,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16391,16391,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0011,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",16,Arboledo,25.40,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16667,16667,2026-07-27,Covenant Hills
high,LH-TRACT-NEIGHBORHOOD-0012,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",54,Arborage 1,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16348,16348,2026-07-27,Terramor
high,LH-TRACT-NEIGHBORHOOD-0013,"Current address points and 2019 names are joined to the smallest containing County legal-map polygon. This does not establish historical opening, construction, sale, habitability, or occupancy dates.",40,Arborage 2,100.00,current_address_points_within_smallest_containing_recorded_tract,current_geographic_crosswalk_not_historical_lifecycle,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,spatial_crosswalk,LH-TRACT-16352,16352,2026-07-27,Terramor
