terrainContextId,tractId,tractNumber,recordDate,pixelCount,sampledAreaSqM,minElevationM,medianElevationM,meanElevationM,maxElevationM,reliefM,meanSlopeDeg,medianSlopeDeg,p90SlopeDeg,steepSlopeGe20DegPct,dominantAspectSector,flatLt2DegPct,northFacingPct,eastFacingPct,southFacingPct,westFacingPct,demNominalYear,analysisCrs,horizontalPixelSizeM,sourceIds,statementClass,confidence,limitations
LH-TERRAIN-TRACT-15615-2018,LH-TRACT-15615,15615,1998-12-11,43229,1079785.2,114.0,157.0,158.5,197.1,83.1,5.28,2.40,16.52,7.40,flat,42.81,22.14,6.23,17.78,39.33,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15616-2018,LH-TRACT-15616,15616,1999-06-30,992,24778.4,175.3,179.1,179.0,181.4,6.1,2.77,2.14,5.14,0.00,flat,45.56,26.51,6.15,14.52,30.14,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15617-2018,LH-TRACT-15617,15617,1999-07-28,951,23754.3,174.2,179.3,179.1,182.0,7.7,3.22,2.28,6.28,0.42,flat,41.96,26.81,2.73,16.09,42.80,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15618-2018,LH-TRACT-15618,15618,1999-05-28,1395,34844.7,175.0,181.2,180.5,186.7,11.7,2.94,1.96,6.02,0.36,flat,51.11,10.39,20.79,26.52,17.35,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15619-2018,LH-TRACT-15619,15619,2001-03-09,3240,80929.6,184.4,195.9,198.0,216.0,31.6,9.42,8.88,20.10,10.25,flat,28.36,11.14,5.74,37.75,42.93,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15620-2018,LH-TRACT-15620,15620,1999-05-15,1234,30823.2,165.9,169.3,169.2,172.8,6.8,2.91,1.92,5.32,0.97,flat,52.59,8.18,12.56,21.23,27.39,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15621-2018,LH-TRACT-15621,15621,1999-03-30,813,20307.3,158.5,160.8,160.8,163.8,5.2,2.42,1.66,5.01,0.00,flat,58.55,21.89,6.52,6.89,24.35,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15622-2018,LH-TRACT-15622,15622,1999-05-14,1545,38591.4,154.2,157.6,157.6,161.9,7.8,2.99,1.93,6.30,0.26,flat,51.52,12.36,9.51,21.81,31.84,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15623-2018,LH-TRACT-15623,15623,1999-05-04,1432,35768.9,156.5,159.8,159.7,162.6,6.1,2.60,2.08,5.31,0.00,flat,48.32,20.67,7.82,17.39,36.31,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
LH-TERRAIN-TRACT-15624-2018,LH-TRACT-15624,15624,2000-04-06,1997,49881.6,167.8,173.6,175.2,183.1,15.4,3.21,1.91,6.67,1.20,flat,52.18,15.87,13.07,10.97,29.89,2018,EPSG:26946,4.998,LH-SRC-OC-DEM-2018;LH-SRC-CENSUS-CDP;LH-SRC-OC-TRACTS,documented_approximate,medium,"2018 post-study terrain sampled within the current Census CDP; not a 1997-2010 surface, not parcel-scale hydrologic routing, and not evidence of material movement between locations."
