tractId,tractNumber,sourceFile,sheetCount,titledAreaAcres,numberedLots,letteredLots,rawParentTractCandidates,normalizedParentTractIds,parentLotContext,ocrCorrections,titleSheetParties,partyInterpretation,recordDate,sourceIds,method,statementClass,confidence,reviewStatus,constructionConclusion,occupancyConclusion,limitations
LH-TRACT-15615,15615,evidence/lhdrs/tract_maps/TR_15615_MM_777_14-31.pdf,18,287.437,23,142,,,,,"DMB Ladera, L.L.C.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1998-12-11,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15616,15616,evidence/lhdrs/tract_maps/TR_15616_MM_787_39-42.pdf,4,6.109,55,,,,,,"Rancho Mission Viejo, L.L.C.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-06-30,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15617,15617,evidence/lhdrs/tract_maps/TR_15617_MM_787_48-50.pdf,3,5.864,,,15615,LH-TRACT-15615,LOT 2 TRACT NO. 15615,,,title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-07-28,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15618,15618,evidence/lhdrs/tract_maps/TR_15618_MM_786_44-47.pdf,4,8.574,,,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-28,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15619,15619,evidence/lhdrs/tract_maps/TR_15619_MM_814_3-6.pdf,4,,,,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.",title_sheet_owner_or_interest_holder_not_necessarily_builder,2001-03-09,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15620,15620,evidence/lhdrs/tract_maps/TR_15620_MM_785_6-9.pdf,4,7.648,,,15615,LH-TRACT-15615,LOT 5 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Warmington Homes",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-15,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15621,15621,evidence/lhdrs/tract_maps/TR_15621_MM_781_14-16.pdf,3,5.030,,,,,,,Standard Pacific Corp.,title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-03-30,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15622,15622,evidence/lhdrs/tract_maps/TR_15622_MM_784_47-50.pdf,4,9.527,,,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Shea Homes",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-14,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15623,15623,evidence/lhdrs/tract_maps/TR_15623_MM_784_19-21.pdf,3,8.864,,,15615,LH-TRACT-15615,LOT 8 OF TRACT NO. 15615,,"Rancho Mission Viejo, L.L.C.;Warmington Homes",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-04,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15624,15624,evidence/lhdrs/tract_maps/TR_15624_MM_798_38-43.pdf,6,12.349,,,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Brookfield Wyeth, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,2000-04-06,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15625,15625,evidence/lhdrs/tract_maps/TR_15625_MM_782_38-44.pdf,,17.402,,,15615,LH-TRACT-15615,LOT 10 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Brookfield Wyeth, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-04-22,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15626,15626,evidence/lhdrs/tract_maps/TR_15626_MM_784_32-35.pdf,4,10.119,,,15615,LH-TRACT-15615,LOT 11 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Taylor Woodrow Homes, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-07,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15627,15627,evidence/lhdrs/tract_maps/TR_15627_MM_785_17-20.pdf,4,6.520,,,15615,LH-TRACT-15615,LOT 12 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;William Lyon Homes, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-14,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15628,15628,evidence/lhdrs/tract_maps/TR_15628_MM_786_23-26.pdf,4,6.368,,23,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Shea Homes",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-25,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15629,15629,evidence/lhdrs/tract_maps/TR_15629_MM_787_43-47.pdf,5,6.551,5,,15615,LH-TRACT-15615,LOT 14 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;Brookfield Sarasota, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-06-30,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15630,15630,evidence/lhdrs/tract_maps/TR_15630_MM_785_10-16.pdf,7,12.617,,,,,,,,title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-05-14,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15631,15631,evidence/lhdrs/tract_maps/TR_15631_MM_795_26-30.pdf,5,7.041,,,15615,LH-TRACT-15615,LOT 16 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Brookfield Sarasota, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,2000-09-14,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15632,15632,evidence/lhdrs/tract_maps/TR_15632_MM_790_34-37.pdf,4,7.646,,,15615,LH-TRACT-15615,LOT 17 OF TRACT NO. 15615,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.;William Lyon Homes, Inc.",title_sheet_owner_or_interest_holder_not_necessarily_builder,1999-08-30,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
LH-TRACT-15793,15793,evidence/lhdrs/tract_maps/TR_15793_MM_897_28-33.pdf,6,57.908,3,4,,,,,"DMB Ladera, L.L.C.;Rancho Mission Viejo, L.L.C.",title_sheet_owner_or_interest_holder_not_necessarily_builder,2008-12-24,LH-SRC-OC-LMS-TRACT-PDFS,macOS Vision OCR of sheet 1 with geometry-assisted numeric review,documented_exact,high,ocr_structured_visual_spot_check_required,not_established,not_established,OCR may misread survey text and digits. Parent-map normalization uses only known intersecting tract IDs; title-sheet parties are not assumed to be builders.
