id,name,siteType,database,status,contaminants,area,approxDistanceMiles,lat,lng,sourceId,grade,notes
ENV-001,Carl Hankey Elementary School,School Investigation (former orchard + row crops),EnviroStor,No Further Action,"Arsenic, Lead, Methane",Mission Viejo / Ladera edge,1.8,33.5697,-117.6550,SRC-ENV-ENVIROSTOR,A1,Former ag land ~1.8 mi from corrected centroid; legacy arsenic/lead residues
ENV-002,San Juan Elementary School,School Investigation (former orchard),EnviroStor,Inactive-Withdrawn,"Arsenic, Chlordane, DDD, DDE, DDT, Lead",San Juan Capistrano,3.2,33.504,-117.662,SRC-ENV-ENVIROSTOR,A1,Full organochlorine + arsenical residue complex on former orchard
ENV-003,Ambuehl Elementary School,School Investigation,EnviroStor,No Further Action,"DDD, DDE, DDT, Toxaphene",San Juan Capistrano,3.0,33.503,-117.645,SRC-ENV-ENVIROSTOR,A1,DDT/toxaphene on former ag land
ENV-004,Plant Depot School Site,School Investigation (ag services),EnviroStor,Inactive-Needs Eval,"Arsenic, Nitrate",San Juan Capistrano,2.9,33.508,-117.659,SRC-ENV-ENVIROSTOR,A1,
ENV-005,Alicia Towne Plaza,Voluntary Cleanup (dry cleaner),EnviroStor,Active,PCE,Mission Viejo,5.1,33.607,-117.691,SRC-ENV-ENVIROSTOR,A1,
ENV-006,Polo Cleaners,Voluntary Cleanup,EnviroStor,Active,"1,1,1,2-tetrachloroethane; 1,1,2-TCA",Mission Viejo,5.6,33.627,-117.635,SRC-ENV-ENVIROSTOR,A1,
ENV-007,SOLAG Disposal Site,Voluntary Cleanup (junkyard/fuel),EnviroStor,No Further Action,"Arsenic, Cr, Lead, PAHs, Beryllium",San Juan Capistrano,3.5,33.502,-117.667,SRC-ENV-ENVIROSTOR,A1,
ENV-008,Meggitt (OC) Inc / former Endevco,Tiered Permit (electronics mfg),EnviroStor,Active,Lead,San Juan Capistrano,2.3,33.518,-117.662,SRC-ENV-ENVIROSTOR,A1,
ENV-009,El Toro High School,School Investigation (former row crops),EnviroStor,No Further Action,"PCBs, TPH-diesel",Lake Forest,6.8,33.637,-117.688,SRC-ENV-ENVIROSTOR,A1,
ENV-010,Blue Diamond Materials Plant,Evaluation (asphalt),EnviroStor,Refer local,(unspecified),Mission Viejo,1.3,33.542,-117.662,SRC-ENV-ENVIROSTOR,A1,
ENV-011,Prima Deshecha Landfill,Active Class III landfill (SWIS 30-AB-0019),CalRecycle/SD Water Board,Permitted/Active,"Landfill gas (methane), leachate; groundwater & LFG monitored",San Juan Capistrano (nearest boundary),4.3,33.486,-117.624,SRC-ENV-PRIMA,A1,Opened 1976; ~4000 tpd; Draft SEIR Jan 2026 to double intake; downgradient of Ladera; imported water lowers groundwater pathway
ENV-012,El Toro MCAS (former),Federal Superfund / NPL,EPA/DTSC,Cleanup ongoing,TCE (VOC groundwater plume migrated >3 mi off-base),Irvine/Lake Forest,10.3,33.676,-117.731,SRC-ENV-ELTORO,A2,Plume did not migrate toward Ladera; Ladera water imported; low relevance
ENV-013,Capistrano Test Site (Northrop Grumman/former TRW),Former rocket/laser test range (~2700 ac),EnviroStor/RWQCB,Closed 2011,Potential perchlorate/NDMA (by analogy; site-specific results NOT verified),Far SE county edge,10.5,,,SRC-ENV-CTS,C,envirostor profile 403 to fetch; contamination suspected by analogy + confirmed EPA hazmat fine; site-specific sampling NOT verified
