lit_id,citation,doi,pmid,study_design,population,sample_size,exposure,outcome,effect_estimate,confidence_interval,main_finding,limitations,relevance,evidence_direction
LIT-001,"Clark CJ, Johnson N, Wang R, et al. Residential proximity to active and abandoned oil and gas development and risk of childhood Ewing sarcoma in California. Environ Health. 2026;25:12.",10.1186/s12940-025-01259-3,41535920,Population-based case-control,"CA children born 1982-2015, dx 1988-2015, age 0-19","558 cases / 27800 controls","Prenatal proximity to active & abandoned oil/gas wells","Ewing sarcoma","Active wells 10km OR 0.88; Abandoned wells 10km OR 1.27; Abandoned Hispanic OR 1.33; low-intensity Hispanic OR 1.86","0.72-1.08; 0.96-1.66; 0.95-1.88; 1.14-3.05","No association with active wells; suggestive elevated risk with abandoned wells among Hispanic children only, CIs wide","Rarity limits power; poor abandoned-well data; birth-address; unmeasured confounding",High,Does not resolve
LIT-002,"Clark CJ, Wang R, Wiemels JL, et al. Perinatal exposure to ambient fine particle air pollution and risk of childhood Ewing sarcoma in California (1988-2015). Environ Health. 2025;24:6.",10.1186/s12940-025-01159-6,40055781,Population-based case-control,"CA children born 1982-2015","388 cases / 19341 controls","Ambient PM2.5 (gestation; first year)","Ewing sarcoma","Q4 gestation OR 0.87; Q4 first-year OR 0.84; Hispanic Q2 OR 1.53","0.61-1.25; 0.58-1.20; 0.94-2.51","No association overall; non-significant elevated ORs among Hispanic children only","PM2.5 data 2000-2016; residential mobility; power loss on stratification",High,Does not resolve
LIT-003,"Spector LG, Hubbard AK, Diessner BJ, et al. Comparative international incidence of Ewing sarcoma 1988-2012. Int J Cancer. 2021;149(5):1054-1066.",10.1002/ijc.33674,33961701,Descriptive international incidence,"0-49 yr multi-registry","15874 cases","Geography / ancestry","ES incidence","Ages 10-19/million: S.Europe 7.75, W.Europe 6.93, N.America 4.58, E.Asia 1.59; ancestry IRR vs European: African 0.16, E.Asian 0.30, Pacific Islander 2.18","NOT EXTRACTED","Large ancestry differential; male predominance; incidence rising ~1.79%/yr","Diagnostic substitution; predominant-ancestry categories",High,Methodological/background
LIT-004,"Machiela MJ, Grunewald TGP. Germline Variation and Somatic Alterations in Ewing Sarcoma. Methods Mol Biol. 2021;2226:3-14.",10.1007/978-1-0716-1020-6_1,33326089,Narrative review,,,"Germline/somatic genetics","ES risk","Six GWAS susceptibility loci; ORs >1.7 reported elsewhere","NOT EXTRACTED","EWSR1-FLI1 fusion + germline variants central; gaps remain","Review; no primary estimates",High,Methodological/background
LIT-005,"Racial differences in the incidence of mesenchymal tumors associated with EWSR1 translocation. Cancer Epidemiol Biomarkers Prev. 2011;20(3):449-457.",10.1158/1055-9965.EPI-10-1170,21212061,Registry incidence analysis (SEER),"US SEER","NOT EXTRACTED","Race/ancestry","ES & EWSR1-tumor incidence","ES IRR vs White: African American 0.12; Asian/Native American 0.54","NOT EXTRACTED","ES far rarer in African/Asian ancestry; consistent with germline susceptibility","Registry race categories; mechanism inferred",High,Methodological/background
LIT-006,"Ewing Sarcoma. StatPearls [Internet]. NCBI Bookshelf NBK559183.",,,Textbook review,US,,,"ES epidemiology","US incidence 2.93/million (1973-2004); peak 10-15 yr; M:F 3:1; t(11;22) ~85%","","Whites >> Blacks/Asians/Hispanics","Tertiary source",High,Methodological/background
LIT-007,"Valery PC, McWhirter W, Sleigh A, Williams G, Bain C. Farm exposures, parental occupation, and risk of Ewing's sarcoma in Australia. Cancer Causes Control. 2002;13(3):263-270.",10.1023/a:1015036109130,12020108,National case-control,Australia,"106 cases / 344 controls","Parental farm work, pesticide handling","Ewing sarcoma/pPNET","Ever lived on farm OR 2.0; farming father at conception OR 3.5; mother farmed OR 2.3","1.0-3.9; 1.0-11.9; 0.5-12.0","Farming/parental agricultural exposure associated with ES","Small numbers; wide CIs include 1.0; recall bias",High,Supports pesticide hypothesis
LIT-008,"Valery PC, Williams G, Sleigh AC, Holly EA, Kreiger N, Bain C. Parental occupation and Ewing's sarcoma: pooled and meta-analysis. Int J Cancer. 2005;115(5):799-806.",10.1002/ijc.20933,15704156,Pooled + meta-analysis,Multi-country,"199 cases / 1451 controls","Parental farming occupation","ESFT","Paternal farming OR 2.3; maternal farming OR 3.9","1.3-4.1; 1.6-9.9","Supports association between ESFT and parental farming","Small case numbers; farming is crude pesticide proxy",High,Supports pesticide hypothesis
LIT-009,"Kendall GM, Bunch KJ, Stiller CA, Vincent TJ, Murphy MFG. Case-control study of paternal occupational exposures and childhood bone tumours and soft-tissue sarcomas in Great Britain 1962-2010. Br J Cancer. 2020;122(8):1250-1259.",10.1038/s41416-020-0760-7,32099095,Record-based case-control,Great Britain,"5369 sarcoma cases / 5380 controls","Paternal occupational exposures","ESFT, bone/soft-tissue sarcoma","ESFT & textile dust OR 1.93; agriculture/agrochemicals: NO significant association","1.01-3.68","Textile dust up ESFT; found NO pesticide/agriculture association","Generic exposure assignment; paternal occupation at birth only",High,Weakens pesticide hypothesis
LIT-010,"Vinson F, Merhi M, Baldi I, Raynal H, Gamet-Payrastre L. Exposure to pesticides and risk of childhood cancer: a meta-analysis. Occup Environ Med. 2011;68(9):694-702.",10.1136/oemed-2011-100082,21606468,Meta-analysis,Various,"40 studies","Parental/prenatal pesticide exposure","Childhood cancers","Leukemia OR 1.48; Lymphoma OR 1.53; Brain OR 1.49","1.26-1.75; 1.22-1.91; 1.23-1.79","Prenatal pesticide exposure associated with several childhood cancers; EWING NOT among reported outcomes","Heterogeneity; exposure misclassification",Medium,Supports pesticide hypothesis
