county,ranch_or_vat_name,year_listed
Alachua,Adkins,1930
Alachua,Allen,1930
Alachua,Archer,1929
Alachua,Bellamy,1930
Alachua,Bennington,1930
Alachua,Bevill,1930
Alachua,Bland,1930
Alachua,Campville,1930
Alachua,Chitty,1930
Alachua,Cooter Pond,1930
Alachua,Crews,1930
Alachua,Davis,1930
Alachua,Daysville,1930
Alachua,Dell,1930
Alachua,Doke,1930
Alachua,Donaldson,1930
Alachua,Dudley,1930
Alachua,East End,1949
Alachua,Eddy,1930
Alachua,Ergles,1930
Alachua,Fairbanks,1930
Alachua,Farm Colony,1930
Alachua,"Gainesville, W.E.",1916
Alachua,Gibbons,1930
Alachua,Gilbert,1929
Alachua,Hadsock,1929
Alachua,Hailes,1930
Alachua,"Halley, John H.",1916
Alachua,Hardee,1930
Alachua,Harris,1930
Alachua,Harrison,1916
Alachua,Hartman,1930
Alachua,Haymans,1930
Alachua,Haynesworth,1930
Alachua,Hen,1930
Alachua,Herlong,1930
Alachua,Hilltop,1950
Alachua,Holly,1930
Alachua,"Jackson, W.S.",1930
Alachua,Kanapaha,1930
Alachua,Knight,1930
Alachua,Lake Alta,1930
Alachua,Martin,1930
Alachua,McDonald,1930
Alachua,McRae,1930
Alachua,Melrose,1930
Alachua,Merry,1930
Alachua,Miles,1930
Alachua,Mills,1930
Alachua,Mounteocha,1930
Alachua,Newberry,1929
Alachua,Norfleet,1929
Alachua,Oak Ridge,1930
Alachua,Paradise,1930
Alachua,Parker,1930
Alachua,Peach Orchard,1930
Alachua,Pearson,1930
Alachua,"Perry, Tootie",1950
Alachua,Phifer,1930
Alachua,Pinesville,1930
Alachua,Ponds,1930
Alachua,Rivers,1930
Alachua,Rocky Point,1930
Alachua,Rosenberger,1930
Alachua,San Felasco Hammock,unknown date
Alachua,Shaw,1930
Alachua,Sheffield,1930
Alachua,Sikes,1930
Alachua,Sink Hole,1950
Alachua,Smith,1930
Alachua,Stevens,1930
Alachua,Strickland,1930
Alachua,Thomas,1930
Alachua,Tillman,1930
Alachua,Tison,1930
Alachua,Turner,1930
Alachua,Underwood,1930
Alachua,University,1930
Alachua,Watson,1929
Alachua,Wauberg,1949
Alachua,Wells,1930
Alachua,Wetmore,1930
Alachua,Windsor,1930
Alachua,Zetrouer,1930
Alachua,Schmidt Farm,unknown date
Baker,Boyd,1928
Baker,"Burnett, John",1928
Baker,Coleman,1928
Baker,Combs Bay,1928
Baker,"Combs, Chas.",1928
Baker,Crawford,1928
Baker,Crenshaw,1928
Baker,"Crews, Ealy",1928
Baker,"Crews, Tom",1928
Baker,"Davis, A.",1928
Baker,"Davis, Ida",1928
Baker,Dobson,1928
Baker,Dorman,1928
Baker,"Dowling, Jack",1928
Baker,Eddy,1928
Baker,"Fish, Foye",1928
Baker,Glen St. Mary,1928
Baker,Griffith,1928
Baker,Harvey,1928
Baker,"Johns, Claud",1928
Baker,Johnson,1928
Baker,Landale,1928
Baker,"Mann, Dan",1928
Baker,Manning,1928
Baker,Mikell,1928
Baker,"Moates, Homer",1928
Baker,"Paulerson, L.L.",1928
Baker,"Powers, Richard",1928
Baker,Rhoden,1928
Baker,"Rowe, Ben",1928
Baker,Ruis,1928
Baker,Sanderson,1928
Baker,Stewart,1928
Baker,"Sweat, Lon",1928
Baker,"Taylor, John",1928
Baker,"Taylor, Robert",1928
Baker,"Taylor, Tom",1928
Baker,Wiggins,1928
Baker,Woodstock,1928
Baker,Yarborough School,1928
Baker,"Yarborough, Dave",1928
Bay & Walton,Alligator,1924
Bay & Walton,"Anderson, Dan",1924
Bay & Walton,Barrett,1924
Bay & Walton,Buck,1924
Bay & Walton,Cain,1924
Bay & Walton,Court Martial,1924
Bay & Walton,Echofina,1924
Bay & Walton,Hutchinsin,1924
Bay & Walton,Lagoon,1924
Bay & Walton,Last Resort,1924
Bay & Walton,Log Camp,1924
Bay & Walton,Otter Creek,1924
Bay & Walton,Pope,1924
Bay & Walton,Poplar Head,1924
Bay & Walton,Pt. Washington,1924
Bay & Walton,Sessna,1924
Bay & Walton,Southport,1924
Bay & Walton,Williams,1924
Bay,Allen,1924
Bay,Auburn,1924
Bay,Bayou George,1924
Bay,Bear Pond,1924
Bay,Betts,1924
Bay,Brown,1924
Bay,Bryan,1924
Bay,Calloway,1924
Bay,Cook,1924
Bay,Donnelly,1924
Bay,Farmdale,1924
Bay,Franklin,1925
Bay,Franklin Branch,1924
Bay,Gainer,1924
Bay,Lynn Haven,1924
Bay,Majette,1924
Bay,Mashburn,1924
Bay,Mill Bayou,1924
Bay,Millville,1924
Bay,Mulberry Grove,1924
Bay,Panama City,1924
Bay,San Blas,1924
Bay,Satsuma,1925
Bay,Scotts,1924
Bay,Shermans,1924
Bay,St. Andrews,1924
Bay,Wetoppo,1924
Bay,Yawkey,1924
Bay,Youngstown,1924
Bradford,Alderman,1929
Bradford,Bessent,1929
Bradford,"Brown, B. E.",1916
Bradford,Crawford,1929
Bradford,Crews,1929
Bradford,Crosby,1929
Bradford,Edwards,1929
Bradford,Futch,1929
Bradford,Graham,1929
Bradford,Green,1929
Bradford,Hall,1929
Bradford,Harrell,1929
Bradford,Hazen,1929
Bradford,Hill,1929
Bradford,Hodge,1929
Bradford,Humphrey,1929
Bradford,Johns,1929
Bradford,Mansel,1929
Bradford,New River,1929
Bradford,Norman,1929
Bradford,"Padgett, P. M.",1916
Bradford,Phillips,1929
Bradford,Rozier,1929
Bradford,Sampson City,1929
Bradford,State Farm,1929
Bradford,State Prison Farms,1916
Bradford,Sullivan,1929
Bradford,Theressa,1929
Bradford,"Townsend, J.W. & P.M. Padgett",1916
