community,county,former_ranch,dev_window,approx_homes,dip_likelihood_notes,grade
Ladera Ranch,Orange,O'Neill / Rancho Mission Viejo,1999-2007,~8100,LEHRP case: documented heavy-tier county; herd ~21-25k head; candidate structure found,A1/B2
Rancho Mission Viejo (Sendero/Esencia/Rienda),Orange,O'Neill / RMV,2013-present,~14000 planned,same ranch as Ladera; active development on remaining range,B2
Coto de Caza,Orange,O'Neill east range,1968-2003,~4000,documented dip-ranch township T6S R7W adjacent (Joplin patents); TTM17325 lead+PAH control case,A2/B2
Mission Viejo,Orange,O'Neill Ranch,1966-1990,~33000,core O'Neill grazing land,B2
Rancho Santa Margarita,Orange,O'Neill / Santa Margarita,1986-2000,~13000,,B2
Las Flores,Orange,O'Neill,1990s,~2500,,B2
Aliso Viejo,Orange,Moulton Ranch,1982-2005,~19000,Moulton was major sheep+cattle operation,B2
Laguna Niguel,Orange,Niguel/Moulton Ranch,1960s-1990s,~25000,,B2
Foothill Ranch / Portola Hills,Orange,Whiting Ranch,1990s,~6000,,B2
Irvine,Orange,Irvine Ranch,1965-present,~90000,Irvine Ranch ran large herds; company archives exist,B2
Talega,Orange (San Clemente),Rancho Mission Viejo south,1999-2006,~3500,Zone C comparison community in LEHRP,B2
Santa Clarita / Valencia,Los Angeles,Newhall Ranch,1965-present,~60000,Newhall Land & Farming - major cattle operation,B2
Stevenson Ranch,Los Angeles,Newhall,1990s-2000s,~5000,,B2
Porter Ranch,Los Angeles,Porter Ranch,1990s-present,~10000,,B2
Chino Hills,San Bernardino,Chino ranchos,1980s-2000s,~23000,,B2
Temecula / Murrieta,Riverside,VAIL RANCH,1985-2010,~60000,Vail Ranch was among So-Cal's largest cattle ranches; HQ preserved; HIGH PRIORITY,B2
Moreno Valley,Riverside,ranchos,1980s-2000s,~50000,,B2
4S Ranch,San Diego,4S/Rancho Bernardo range,1998-2015,~5000,,B2
Otay Ranch,San Diego,Otay Ranch,1999-present,~15000,large historic cattle ranch,B2
Black Mountain Ranch / Del Sur / Santaluz,San Diego,Black Mountain range,2000s,~5000,,B2
Scripps Ranch,San Diego,Miramar Ranch,1970s-1990s,~12000,,B2
Rancho Bernardo,San Diego,Rancho Bernardo,1962-1980s,~18000,,B2
Bakersfield SW growth,Kern,Tejon/Kern ranches fringe,1990s-present,~30000,Tejon Ranch herds documented; development mostly on farmland - lower priority,B2
Camarillo / Thousand Oaks,Ventura,Janss & ranchos,1960s-1980s,~40000,,B2
