county,site_id,program,name_city
SARASOTA,COM_374217,CU,17TH STREET VAT SARASOTA
PASCO,COM_203794,CU,ANCLOTE RIVER RANCH CATTLE VAT NEW PORT RICHEY
VOLUSIA,COM_299347,CU,BECK RANCH PROPERTY CATTLE DIPPING VAT ‐ CDV OSTEEN
WALTON,COM_356185,CU,BUNKER ROAD CATTLE DIPPING VAT
LEE,COM_74887,CU,CAPE CORAL CATTLE DIP VAT (EDWARD LYONS PARCEL) CAPE CORAL
SARASOTA,COM_373307,CU,CARLTON RESERVE CDV SARASOTA
ORANGE,COM_139422,CU,CATTLE DIPPING VAT ‐ KIRBY SMITH GROVE ORLANDO
ORANGE,COM_146051,CU,CATTLE DIPPING VAT/ STONEYBROOK DEVELOPMENT
OKEECHOBEE,COM_308098,CU,CONTINENTAL CATTLE DIPPING VAT OKEECHOBEE
CITRUS,COM_347764,CU,CR491 CATTLE DIP VAT NULL
PUTNAM,COM_332360,CU,EAST PUTNAM COUNTY REGIONAL WWTF CATTLE DIP VAT E PALATKA
CLAY,COM_145022,CU,ELEMENTARY SCHOOL Q (CDV) GREEN COVE SPRINGS
COLLIER,COM_291344,CU,FAKAHATCHEE STRAND STATE PRESERVE CATTLE DIP VAT COPELAND
ORANGE,COM_283130,CU,HAL SCOTT PRESERVE (CDV) ORLANDO
HILLSBOROUGH,COM_156043,CU,HOPEWELL CATTLE DIP VAT KEYSVILLE
SARASOTA,COM_373303,CU,INDIAN CREEK RANCH CATTLE DIP VAT VERO BEACH
INDIAN RIVER,COM_289528,CU,IRC CATTLE DIP VAT VERO BEACH
ORANGE,COM_149179,CU,LAKE GEORGE CATTLE DIP VAT (BARBER VICKERY) ORLANDO
VOLUSIA,COM_300460,CU,LAKE GEORGE CONSERVATION AREA CDV SEVILLE
HILLSBOROUGH,COM_171108,CU,LAKE WEEKS CDV SEFFNER
LEE,COM_274278,CU,LCPA CATTLE DIP VAT FT MYERS
BREVARD,COM_181293,CU,MOCCASIN ISLAND CDV#1 MELBOURNE
BREVARD,COM_181295,CU,MOCCASIN ISLAND CDV#2 MELBOURNE
OKEECHOBEE,COM_289462,CU,NUBBIN SLOUGH CATTLE DIP VAT OKEECHOBEE
MARION,COM_297396,CU,OCALA CATTLE DIPPING VAT PROPOSED NW 44TH AVE OCALA
GLADES,COM_297898,CU,OLD MUSE ROAD‐CATTLE DIP VAT MOORE HAVEN
MARTIN,COM_318418,CU,OWENS GROVE CATTLE DIP VAT (CDV) INDIANTOWN
PUTNAM,COM_299231,CU,PALATKA WATER TROUGH AKA PALATKA CDV PALATKA
WALTON,COM_287411,CU,PEACH CREEK DEVELOPMENT (CATTLE DIP VAT) SANTA ROSA BEACH
MANATEE,COM_373955,CU,PROSPECT ROAD CATTLE DIP VAT SARASOTA
ST. JOHNS,COM_353018,CU,RACETRACK CATTLE DIPPING VAT NULL
ST. JOHNS,COM_67884,CU,RAYONIER CATTLE DIP VAT SITE PALM COAST
PALM BEACH,COM_308093,CU,REESE CATTLE DIPPING VAT JUPITER
BREVARD,COM_300464,CU,SAWGRASS LAKE CDV MELBOURNE
HIGHLANDS,COM_75413,CU,SCHNELL CATTLE DIP VAT SEBRING
OKEECHOBEE,COM_239568,CU,STEIRERT CATTLE DIP VAT OKEECHOBEE
LAKE,COM_213038,CU,TANNER CATTLE DIP VAT CASSIA
GILCHRIST,COM_341382,CU,USSC GC‐2 CATTLE DIP VAT GILCHRIST TRENTON
GILCHRIST,COM_341383,CU,USSC GC‐3 EQUIPMENT STORAGE‐CATTLE DIP VAT GILCHRIST TRENTON
OKEECHOBEE,COM_81552,CU,WALMART CATTLE DIP VAT
WALTON,COM_356185,WALTON,COUNTY SPRAYFIELDS CATTLE VATS POINT WASHINGTON
HIGHLANDS,COM_319943,CU,WESTBY CATTLE DIP VAT‐NRCS LAKE PLACID
CLAY,COM_66289,CU,WRIGHT'S DAIRY CATTLE DIPPING VAT/PETERS CREEK CDV
SEMINOLE,COM_336613,CU,YARBOROUGH RANCH CATTLE DIP VAT CHULUOTA
DUVAL,COM_137074,CU,ZOM BAYARD CATTLE DIPPING VAT JACKSONVILLE
