id,commonName,casNumber,chemicalClass,cancerClassification,iarcClassification,ca_prop65_status,soilHalfLife,waterSolubility,koc,driftPotential,runoffPotential,restrictedMaterialCA,sourceId,notes
AI-001,Glufosinate-ammonium,77182-82-2,"phosphinic acid / glutamine synthetase inhibitor (HRAC 10)","EPA: Not Likely to be Carcinogenic to Humans","Not classified",Not listed,"7.4 days (non-persistent)","500000 mg/L (very high)","600 (slightly mobile)",low-moderate,low,false,SRC-PEST-PPDB,"Active ingredient in Lifeline (EPA Reg 70506-310), the product documented in Ladera Ranch common-area notices. EU non-renewal 2018 on REPRODUCTIVE toxicity (Repr 1B), NOT a cancer ban. Concerns: neurotoxicity, developmental neurotoxicity, reprotoxicity. GUS 1.03 low leachability."
AI-002,Glyphosate,1071-83-6,phosphonoglycine,"EPA: Not Likely to be Carcinogenic (2020)","IARC 2A (probable)","LISTED cancer 2017 (warning permanently enjoined)","17.3 days typ","100000 mg/L","1424",low,low,false,SRC-PEST-PPDB,"EPA vs IARC diverge sharply; NHL association (not Ewing)"
AI-003,"2,4-D",94-75-7,phenoxy / synthetic auxin,"EPA Group D (not classifiable)","IARC 2B (possible)","Not listed (2,4-DB is listed)","4.4 lab / 28.8 field","24300 mg/L","39.3",moderate-high,moderate,true,SRC-PEST-PPDB,"Turf broadleaf herbicide; restricted (small retail exempt)"
AI-004,Oryzalin,19044-88-3,dinitroaniline,"EPA Group C (some later Likely)",Not classified,"LISTED cancer (2008)","88 days","1.13 mg/L","949",low,low,false,SRC-PEST-PPDB,"Pre-emergent ornamental (Surflan)"
AI-005,Pendimethalin,40487-42-1,dinitroaniline,"EPA Group C",Not classified,Not listed,"182 lab / 40-90 field","0.33 mg/L","17491",low,low,false,SRC-PEST-PPDB,"Pre-emergent turf/ornamental; persistent"
AI-006,Trifluralin,1582-09-8,dinitroaniline,"EPA Group C",Not classified,Not listed,"133.7 typ / 170 field","0.221 mg/L","15800",low,low,false,SRC-PEST-PPDB,"Pre-emergent (Treflan)"
AI-007,Dithiopyr,97886-45-8,pyridine,"No carcinogenicity found (exact Group NOT FOUND)",Not classified,Not listed,"39 field","1.38 mg/L","801",low,low,false,SRC-PEST-PPDB,"Pre-emergent turf (Dimension)"
AI-008,Isoxaben,82558-50-7,benzamide,"EPA Group C",Not classified,Not listed,"105 days","0.93 mg/L","909",low,low,false,SRC-PEST-PPDB,"Pre-emergent ornamental (Gallery)"
AI-009,Triclopyr,55335-06-3,pyridine / synthetic auxin,"EPA Group D",Not classified,Not listed,"18.8 lab / 30 field","8100 mg/L","27",moderate,moderate-high,false,SRC-PEST-PPDB,"Brush/turf, rights-of-way; mobile"
AI-010,Imidacloprid,138261-41-3,neonicotinoid,"EPA Group E (non-carcinogenic)",Not classified,Not listed,"191 days (persistent)","610 mg/L","225",low,moderate,false,SRC-PEST-PPDB,"Pollinator concern not cancer"
AI-011,Bifenthrin,82657-04-3,pyrethroid,"EPA Group C",Not classified,Not listed,"86.8 field / 102 lab","0.001 mg/L","236610",low,low (soil-bound),false,SRC-PEST-PPDB,"Very high soil binding; aquatic toxicity"
AI-012,Permethrin,52645-53-1,pyrethroid,"EPA: Likely to be Carcinogenic (oral; 2006 RED)","IARC Group 3",Not listed,"13 lab / 42 field","0.011 mg/L","100000",low,low,false,SRC-PEST-PPDB,"Turf/structural/textile"
AI-013,Cypermethrin,52315-07-8,pyrethroid,"EPA Group C",Not classified,Not listed,"22.1 days","0.009 mg/L","307558",low,low,false,SRC-PEST-PPDB,"Structural/turf"
AI-014,Carbaryl,63-25-2,carbamate,"EPA: Likely to be Carcinogenic (2005)",Not classified,"LISTED cancer (2010) + developmental & repro (2009)","16 days","9.1 mg/L","211",moderate,moderate,true,SRC-PEST-PPDB,"Sevin; restricted with exceptions"
AI-015,Malathion,121-75-5,organophosphate,"EPA: Suggestive Evidence (2000)","IARC 2A (probable)","LISTED cancer 2016","0.17 lab / 1 field","148 mg/L","1800",moderate,moderate,false,SRC-PEST-PPDB,"Rapidly degraded; medfly/mosquito"
AI-016,Chlorpyrifos,2921-88-2,organophosphate,"EPA Group E; concern is developmental neurotoxicity","Not classified","LISTED developmental 2017","386 lab / 27.6 field","1.05 mg/L","5509",moderate,low,true,SRC-PEST-PPDB,"BANNED in California (use prohibited after 12/31/2020)"
AI-017,Diuron,330-54-1,phenylurea,"EPA: Likely to be Carcinogenic (2003 RED)",Not classified,"LISTED cancer 2002","102.8 days","35.6 mg/L","680",low,moderate,true,SRC-PEST-PPDB,"Industrial-vegetation herbicide; groundwater permit in GWPAs"
AI-018,MSMA,2163-80-6,organic arsenical,"Degrades to inorganic arsenic = EPA Group A / IARC Group 1 human carcinogen","IARC Group 1 (arsenic)","Arsenic compounds P65 cancer","~350 field; arsenic persists indefinitely","~1000000 mg/L","NOT FOUND",low,moderate,false,SRC-PEST-PPDB,"Turf/golf/roadside uses ended 12/31/2013; degrades to inorganic arsenic"
