chemical,application_records,total_lbs_applied
FIPRONIL,4361,2504.45
PIPERONYL BUTOXIDE,4285,6815.52
BIFENTHRIN,4163,8189.01
PYRIPROXYFEN,3429,458.93
IMIDACLOPRID,3390,3043.07
DINOTEFURAN,3042,5314.44
PYRETHRINS,2890,608.62
DIPHACINONE,2854,7.44
INDOXACARB,2585,83.16
DELTAMETHRIN,2507,4381.8
PRALLETHRIN,1965,564.65
"GLYPHOSATE, ISOPROPYLAMINE SALT",1742,43696.19
BROMETHALIN,1695,6.95
LAMBDA-CYHALOTHRIN,1678,1407.92
BETA-CYFLUTHRIN,1609,886.3
N-OCTYL BICYCLOHEPTENE DICARBOXIMIDE,1460,276.88
DISODIUM OCTABORATE TETRAHYDRATE,1356,28141.25
,1277,0.0
BORIC ACID,1195,20492.46
ESFENVALERATE,1042,2254.28
HYDROPRENE,918,210.22
ABAMECTIN,863,20.98
CYFLUTHRIN,859,88.3
"PIPERONYL BUTOXIDE, OTHER RELATED",762,40.31
PERMETHRIN,728,2731.3
BEAUVERIA BASSIANA STRAIN: GHA,714,27.54
THIAMETHOXAM,681,205.67
NOVALURON,677,174.19
CHOLECALCIFEROL,659,32.43
SULFURYL FLUORIDE,655,317155.71
CHLORFENAPYR,645,982.47
S-METHOPRENE,611,167.89
PHENOTHRIN,585,12.71
CHLOROPHACINONE,573,2.08
CLOTHIANIDIN,564,2871.05
DICAMBA,550,102.27
TRINEXAPAC-ETHYL,526,805.31
CARFENTRAZONE-ETHYL,522,58.33
"2,4-D, 2-ETHYLHEXYL ESTER",508,1372.97
SILICA GEL,493,655.34
"GLYPHOSATE, POTASSIUM SALT",484,9288.49
GLUFOSINATE-AMMONIUM,442,10531.92
"TRICLOPYR, BUTOXYETHYL ESTER",406,1973.7
DIQUAT DIBROMIDE,405,2203.89
THIOPHANATE-METHYL,369,7250.82
STRYCHNINE,353,32.41
CHLOROTHALONIL,322,12411.75
MEFENOXAM,312,180.59
PROPICONAZOLE,311,953.77
BROMADIOLONE,310,0.33
DITHIOPYR,309,2132.43
