site_type,application_records,total_lbs_applied,location_reported
STRUCTURAL PEST CONTROL,55442,403983.34,no
LANDSCAPE MAINTENANCE,15383,110664.03,varies
N-OUTDR PLANTS IN CONTAINERS,2990,4787.81,varies
GOLF COURSE TURF,1375,56170.48,varies
RIGHTS OF WAY,1130,34191.95,varies
REGULATORY PEST CONTROL,583,873.4,varies
PUBLIC HEALTH,435,35464.7,varies
WATER (INDUSTRIAL),366,56222.25,varies
"PEPPER, FRUITING",183,13411.09,varies
N-GRNHS FLOWER,169,841.08,varies
N-OUTDR TRANSPLANTS,167,76.32,varies
CANNABIS (ALL OR UNSPECIFIED),166,17.58,varies
STRAWBERRY,146,54006.04,varies
AVOCADO,144,15858.69,varies
WATER AREA,130,11863.19,varies
N-GRNHS PLANTS IN CONTAINERS,127,146.24,varies
VERTEBRATE CONTROL,100,0.11,varies
LEMON,90,8777.25,varies
UNCULTIVATED AG,75,864.21,varies
"BEAN, SUCCULENT",66,381.78,varies
CARROT,43,1262.03,varies
ANIMAL PREMISE,20,46.21,varies
WATERMELON,15,1.96,varies
CITRUS,15,0.62,varies
ORANGE,15,595.75,varies
PUMPKIN,14,26.41,varies
TOMATO,13,741.83,varies
TURF/SOD,13,60.68,varies
SOIL FUMIGATION/PREPLANT,9,30.74,varies
"CORN, HUMAN CONSUMPTION",8,0.28,varies
COMMODITY FUMIGATION,7,7.8,varies
UNCULTIVATED NON-AG,5,17.6,varies
N-OUTDR FLOWER,4,21.09,varies
WATER SYSTEMS - HUMAN POTABLE/DRINKING,3,160.14,varies
SQUASH,3,0.84,varies
N-GRNHS TRANSPLANTS,3,2.85,varies
"FUMIGATION, OTHER",3,380.24,varies
RANGELAND,2,0.83,varies
PERSIMMON,2,14.95,varies
APPLE,2,19.94,varies
CHRISTMAS TREE,2,18.31,varies
DITCH BANK,2,168.65,varies
"ONION, DRY",1,0.43,varies
RESEARCH COMMODITY,1,0.02,varies
TURNIP,1,0.09,varies
