id,title,publisher,author,url,publicationDate,retrievalDate,sourceType,geographicCoverage,timeCoverage,isOfficial,isPrimary,isPeerReviewed,dataFormat,reliabilityGrade,knownLimitations,notes
SRC-OFF-001,"Board of Supervisors 6/23 statement — herbicide/pesticide public-noticing vote (Item S94E)","Office of Supervisor Katrina Foley (bos5.oc.gov)","",https://bos5.oc.gov/pr-bos-6-23-26,2026-06-23,2026-07-18,meeting_doc,"Orange County, CA",2026,true,true,false,HTML,A2,"Does not mention Ladera Ranch or cancer","County directed OC Public Works to develop advance public-notice rules for herbicide/pesticide use on county property"
SRC-OFF-002,"Countywide pause of herbicide spraying","Office of Supervisor Katrina Foley (bos5.oc.gov)","",https://bos5.oc.gov/pr-5.14.26-herbicides,2026-05-14,2026-07-18,webpage,"Orange County, CA",2026,true,true,false,HTML,A2,"Framed around waterways/habitat; predates cluster reporting; no cancer mention","OC Public Works to pause herbicide spraying countywide"
SRC-OFF-003,"Pesticide Use in Orange County (Assemblymember letter)","CA State Assembly, Diane Dixon office (ad72.asmrc.org)","Asm. Diane Dixon",https://ad72.asmrc.org/2026/05/15/pesticide-use-in-orange-county/,2026-05-15,2026-07-18,filing,"Orange County, CA",2026,true,true,false,HTML,A2,"No Ladera Ranch or cancer mention; predates cluster reporting","Urges investigation of alleged pesticide misuse/misapplication in OC"
SRC-OFF-004,"California Cancer Registry program page","CA Dept of Public Health (CDPH)","",https://www.cdph.ca.gov/Programs/CCDPHP/DCDIC/CDSRB/Pages/California-Cancer-Registry.aspx,,2026-07-18,webpage,California,,true,true,false,HTML,A2,"Page returned TLS cert error; no Ladera-Ranch-specific content located","General CCR/CDPH program page"
SRC-NEWS-001,"Ladera Ranch families say several kids diagnosed with rare cancer","NBC Los Angeles","Hetty Chang",https://www.nbclosangeles.com/news/local/ladera-ranch-ewing-sarcoma-cancer-cases/3914838/,2026-07-08,2026-07-18,news,"Ladera Ranch, CA",2013-2026,false,false,false,HTML,B2,"TV news; family/attorney-sourced","Originating report; 'at least 6' Ewing since 2013; LARMAC IPM statement; OC initial review found no pattern"
SRC-NEWS-002,"Child cancer cases in/near Ladera Ranch spark calls for toxic pesticides ban","NBC Los Angeles","Hetty Chang",https://www.nbclosangeles.com/news/local/child-cancer-cases-ladera-ranch-toxic-pesticides-ban/3917844/,2026-07-15,2026-07-18,news,"South Orange County, CA",2026,false,false,false,HTML,B2,"TV news","Second cancer type (synovial sarcoma); 'about a dozen' rare cancers across LR + other OC cities; UCI Prof. Blumberg quoted"
SRC-NEWS-003,"Bill Essayli requests EPA investigation into child cancer cases","NBC Los Angeles","",https://www.nbclosangeles.com/news/local/ladera-ranch-child-cancer-cases-epa-investigation/3918420/,2026-07-17,2026-07-18,news,"Ladera Ranch, CA",2026,false,false,false,HTML,B2,"TV news","Essayli letter to EPA; LARMAC 60-day pause same day; no EPA response"
SRC-NEWS-004,"Investigation launched into 'extremely rare' cancer — 'Deeply concerning'","Yahoo News (syndicated)","",https://www.yahoo.com/news/us/articles/investigation-launched-extremely-rare-cancer-204008810.html,2026-07-14,2026-07-18,news,"Orange County, CA",2026,false,false,false,HTML,B2,"Aggregated; carries fullest verbatim OC HCA statement","'Deeply concerning' traced to attorney Candice Bond and Asm. Kate Sanchez"
SRC-NEWS-005,"Rare Childhood Cancer Cases In OC Trigger Federal Push","Patch — Rancho Santa Margarita","Miranda Ceja",https://patch.com/california/ranchosantamargarita/rare-childhood-cancer-cases-oc-trigger-federal-push-investigation,2026-07-17,2026-07-18,news,"Orange County, CA",2026,false,false,false,HTML,B2,"Local news aggregation","Essayli verbatim; Dixon quote; synovial sarcoma case"
SRC-NEWS-006,"EPA Asked To Probe Child Cancer Cases In Ladera Ranch","KFI AM 640 (iHeart)","",https://kfiam640.iheart.com/content/2026-07-17-epa-asked-to-probe-child-cancer-cases-in-ladera-ranch/,2026-07-17,2026-07-18,news,"Ladera Ranch, CA",2026,false,false,false,HTML,B2,"Radio news","Essayli request; Dixon support; LARMAC committee"
