analyte,year,result_avg,result_range,units,mcl,plant,sourceId,grade,notes
TTHM,2015,36,"2.8-47",ppb,80,distribution,SRC-WS-001,A2,"Disinfection byproduct; forms in pipes"
TTHM,2017,26,"5.1-28",ppb,80,distribution,SRC-WS-001,A2,""
TTHM,2019,27,"16-38",ppb,80,distribution,SRC-WS-001,A2,""
TTHM,2021,30,"19-47",ppb,80,distribution,SRC-WS-001,A2,""
TTHM,2023,48,"34-59",ppb,80,distribution,SRC-WS-001,A2,"Highest observed; still below MCL 80"
TTHM,2024,49,"24-50",ppb,80,distribution,SRC-WS-001,A2,""
TTHM,2025,32,"20-37",ppb,80,distribution,SRC-WS-001,A2,""
HAA5,2015,13,"ND-12",ppb,60,distribution,SRC-WS-001,A2,"Range as printed (apparent CCR typo)"
HAA5,2019,9,"ND-16",ppb,60,distribution,SRC-WS-001,A2,""
HAA5,2023,17,"7.9-25",ppb,60,distribution,SRC-WS-001,A2,""
HAA5,2024,22,"4.5-33",ppb,60,distribution,SRC-WS-001,A2,"Highest observed; below MCL 60"
HAA5,2025,8,"4.1-10",ppb,60,distribution,SRC-WS-001,A2,""
Arsenic,2024,2,"2-2.27",ppb,10,"IRWD Baker",SRC-WS-001,A2,""
Nitrate (as N),2023,0.7,"",ppm,10,MWD,SRC-WS-001,A2,""
Uranium,2024,2.2,"",pCi/L,20,Baker,SRC-WS-001,A2,""
Gross alpha,2024,3.8,"",pCi/L,15,Baker,SRC-WS-001,A2,""
Fluoride,2023,0.7,"0.32-0.7",ppm,2,both,SRC-WS-001,A2,""
Lead (90th pct),2024,ND,"0/52 sites over AL",ppb,15,distribution,SRC-WS-001,A2,"Action level; no exceedances"
Copper (90th pct),2024,0.079,"0/52 sites over AL",ppm,1.3,distribution,SRC-WS-001,A2,""
TDS,2023,571,"380-698",ppm,1000,distribution,SRC-WS-001,A2,"Secondary MCL"
Hexavalent chromium,2016-2026,ND,"not reported/not detected",ppb,10,"",SRC-WS-001,A2,"Not listed in any CCR detection table"
PFAS/PFOA/PFOS,2016-2026,ND,"no detections reported",ppt,"",'',SRC-WS-001,A2,"SMWD: imported supply lowers PFAS risk; UCMR5 raw data not retrieved"
Perchlorate,2016-2026,ND,"not detected/not reported",ppb,6,"",SRC-WS-001,A2,""
"1,2,3-TCP",2016-2026,ND,"not detected/not reported",ppt,5,"",SRC-WS-001,A2,""
DDE (surface water),2003,exceedance,"exceeded CA Toxics Rule in 2 of 4 samples",,"",Lower San Juan Creek,SRC-WS-003,B1,"SWAMP/SCCWRP ambient creek monitoring — NOT drinking water; legacy pesticide breakdown product"
